art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	action	source_kind	source_path	source_sha256	source_verdict	overlap_key	qa_status	ladder_id	rung	runtime_kind	mechanical_identity
shield_hide_round	shield	1	Hide Roundshield	P	2	3	a broad round rawhide fighting shield tensioned over a bent wood frame, with a hand-lashed rim and one restrained center boss, front face only	Iron Age hide-shaped shield model from the Salisbury Hoard and its organic binding logic	https://www.britishmuseum.org/collection/object/H_1998-0401-1_1	review_reuse	post_calib	ChatGPT Image Jul 10, 2026, 11_25_30 PM (2).png	ef04f96619d4bc1e5bfa6cd84fd2d27a31fc0ef49fd9aa840458996111e1943e	promote	salvage_shield_081	needs_user	offhand_roundwall	1	shield	tensioned hide round
shield_oxhide_tower	shield	2	Oxhide Tower Shield	P	2	4	a tall rounded-rectangle shield of layered oxhide over wood, with a narrow copper spine, three restrained bosses, and a hard bound rim, front face only	Ancient Near Eastern tower-shield silhouette with Romano-British metal binding as assembly evidence	https://www.britishmuseum.org/collection/object/H_1982-0103-55	generate_new	none	none	none	not_audited	none	unreviewed	offhand_roundwall	2	shield	layered body wall
shield_bronze_parma	shield	3	Bronze Parma	P	2	3	a compact oval wood shield with a broad hammered bronze center plate, low hand boss, pale rawhide edge, and otherwise plain face, front face only	Ancient bronze boss and organic oval shield construction	https://www.metmuseum.org/art/collection/search/244541	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 1\03__shield.png	none	not_audited	balanced:faction_north_dex_t1:shield	needs_user	offhand_roundwall	3	shield	oval center plate
shield_shell_pelta	shield	4	Shell-Plate Pelta	P	2	3	a crescent wood shield with a few broad mother-of-pearl plates drilled near their edges and sparsely peened over continuous rawhide backing, front face only	Ancient Hellenistic pelta silhouette with explicit drilled rigid-plate attachment over an organic shield	https://resources.metmuseum.org/resources/metpublications/pdf/Art_of_the_Hellenistic_Kingdoms_From_Pergamon_to_Rome.pdf	generate_new	none	none	none	not_audited	none	unreviewed	offhand_roundwall	4	shield	segmented shell crescent
buckler_skymetal	buckler	5	Black-Iron Buckler	S	2	2	a compact deep-domed buckler hammered from raw dark meteoritic iron, with a wide plain rim and a protected center grip, front face only	Italic convex bronze boss mechanics translated into rare meteoritic iron	https://www.metmuseum.org/art/collection/search/248657	generate_new	none	none	none	not_audited	none	unreviewed	offhand_roundwall	5	buckler	deep dome hand shield
shield_reed_pelta	shield	1	Reed Pelta	P	2	3	a compact crescent shield with a tightly bundled cane core beneath one continuous rawhide fighting face and a hard wood rim, front face only	Ancient crescent pelta silhouette documented in Hellenistic art and built with ancient cane-and-hide methods	https://resources.metmuseum.org/resources/metpublications/pdf/Art_of_the_Hellenistic_Kingdoms_From_Pergamon_to_Rome.pdf	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 1\03__shield.png	none	not_audited	balanced:faction_dustwind_dex_t1:shield	needs_user	offhand_cutoutwall	1	shield	covered cane crescent
shield_hide_dipylon	shield	2	Open-Side Body Shield	P	2	4	a tall oval oxhide shield with two deep opposing side cutouts, a continuous wood frame, and a narrow plain edge, front face only	Bronze and Early Iron Age Dipylon shield silhouette documented in Greek material culture	https://www.metmuseum.org/de/essays/warfare-in-ancient-greece	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 3\03__shield.png	none	not_audited	balanced:faction_north_dex_t3:shield	needs_user	offhand_cutoutwall	2	shield	opposed side cutouts
shield_bronze_yetholm	shield	3	Ribbed Bronze Shield	P	2	3	a large shallow sheet-bronze roundshield beaten from one disc, with a stepped boss, concentric structural ribs, and a turned rim, front face only	Late Bronze Age Yetholm-type sheet-bronze shield from Rhyd-y-Gorse	https://www.britishmuseum.org/collection/object/H_1873-0210-2?selectedImageId=1168430001	generate_new	none	none	none	not_audited	none	unreviewed	offhand_cutoutwall	3	shield	one-piece ribbed disc
shield_coral_spine	shield	4	Coral Spine Shield	P	2	4	a long flat oval wood shield with a forged bronze spine and two tiny protected coral studs pinned at its structural terminals, broad hide fields plain, front face only	Iron Age Witham shield bronze spine, organic backing, and directly preserved pinned coral settings	https://www.britishmuseum.org/collection/object/H_1872-1213-1	generate_new	none	none	none	not_audited	none	unreviewed	offhand_cutoutwall	4	shield	coral-pinned long spine
shield_skymetal_round	shield	5	Black Rib Shield	P	2	3	a broad round wood shield with a raw dark meteoritic-iron center plate carrying three deep ribs and one stepped boss, otherwise plain, front face only	Yetholm-type ribbed shield load paths translated into a backed meteoritic-iron plate	https://www.britishmuseum.org/collection/object/H_1873-0210-2?selectedImageId=1168430001	generate_new	none	none	none	not_audited	none	unreviewed	offhand_cutoutwall	5	shield	backed triple-rib plate
shield_wood_round	shield	1	Plank Roundshield	P	2	3	a broad round center-grip shield of joined hardwood boards with one low plain boss, a hide-lashed rim, and no emblem, front face only	Bronze or Iron Age Kiltubbrid one-piece wooden roundshield provides the direct wood-body and boss precedent	https://www.britishmuseum.org/collection/object/H_CRM-177	review_reuse	post_calib	ChatGPT Image Jul 13, 2026, 11_17_52 PM (2).png	167e499a870a6cf3e9ed54cb5cb4289e0bbd7b8c427d6424b6917cb0e077584e	promote	salvage_shield_136	needs_user	offhand_boardcraft	1	shield	joined plank disc
shield_cane_oval	shield	2	Cane Oval Shield	P	2	3	a long oval defense of closely aligned cane beneath a coherent wood frame, with one broad wood center rib, sparse copper ties, and a hard rim, front face only	Iron Age long oval shield proportions and organic backing evidence from the Witham shield family	https://www.britishmuseum.org/collection/object/H_1872-1213-1	review_reuse	post_calib	ChatGPT Image Jul 13, 2026, 11_51_10 PM (2).png	d370c32bcd84a879e108395e86c635edccad2f51efe71abe09fac681fc30504d	promote	salvage_shield_168	needs_user	offhand_boardcraft	2	shield	framed cane oval
shield_scutum_rect	shield	3	Legion Scutum	P	2	4	a tall curved rectangular shield of laminated wood under taut hide, with a plain iron hand boss and straight bronze edge binding, no insignia, front face only	Roman curved rectangular scutum documented by the Junius Dubitatus center panel and surviving fittings	https://www.britishmuseum.org/collection/object/H_1893-1213-1	generate_new	none	none	none	not_audited	none	unreviewed	offhand_boardcraft	3	shield	curved laminated rectangle
