art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	action	source_kind	source_path	source_sha256	source_verdict	overlap_key	qa_status	ladder_id	rung	runtime_kind	mechanical_identity
body_corselet_bast	body_corselet	1	Bast-Rib Corselet	P	2	3	Empty hip-short corselet of bundled bast ribs over dense woven fiber; broad organic shoulder bands, straight waist, active-service wear, no belt, skirt, anatomy, metal, symbols, or modern stitching.	A0/L woven-fiber torso defense; taxonomy B-01	https://www.metmuseum.org/art/collection/search/26565	generate_new	none	none	none	not_audited	none	unreviewed	body_corselet	1	body	bundled bast ribs on woven body
body_corselet_copper_disc	body_corselet	2	Copper-Disc Corselet	P	2	3	Empty hip-short layered-linen corselet reinforced by four hammered copper discs peened through broad doubled load patches; cloth remains dominant, with no belt, lower garment, anatomy, radial emblem, or loose hardware.	A1-A2 disc reinforcement on organic support	https://www.metmuseum.org/de/essays/warfare-in-ancient-greece	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 1\01__body_armor.png	3384eda43a7fa43a79ba8f5dc73d873e0cd9a3dbef28be7a65551cec42cba92a	not_audited	body_textile_sparse_metal	needs_user	body_corselet	2	body	linen corselet with four peened copper discs
body_corselet_bronze_scale	body_corselet	3	Bronze Scale Corselet	P	2	3	Empty hip-short corselet of small rounded bronze scales overlapping downward on one continuous dark-hide backing; compact shoulder courses and straight waist, no belt, skirt, anatomy, mail, or fantasy shoulders.	A2-A4 ancient scale vest; taxonomy B-11	https://www.metmuseum.org/art/collection/search/326389	review_reuse	post_calib	ChatGPT Image Jul 10, 2026, 11_23_37 PM (5).png	86d4211045065b10d7073211c3bf82f18cf1a895e6b66d9419ae8aff98a1b219	review	body_scale_short	needs_user	body_corselet	3	body	rounded bronze scale courses on hide
body_corselet_riverhide	body_corselet	4	River-Hide Corselet	P	2	3	Empty hip-short crocodile-hide corselet following the surviving Roman-Egyptian broad hide cut and seam map; natural scales remain hide texture, with no belt, skirt, animal head, anatomy, jewels, or regalia.	Roman Egypt crocodile-skin armor, 3rd-4th century, BM EA5473	https://www.britishmuseum.org/collection/object/Y_EA5473	generate_new	none	none	none	not_audited	none	unreviewed	body_corselet	4	body	fitted crocodile hide shell
body_corselet_skymetal_scale	body_corselet	5	Skymetal Scale Corselet	P	2	3	Empty hip-short corselet of raw dark meteoric-iron scales on full blackened hide; severe high chest and continuous shoulder courses, healthy maintained edges, no belt, skirt, anatomy, glow, gilding, symbols, or mail.	T5 material translation of ancient scale load paths	https://www.metmuseum.org/art/collection/search/326389	generate_new	none	none	none	not_audited	none	unreviewed	body_corselet	5	body	meteoric scale courses on black hide
body_cuirass_rawhide	body_cuirass	1	Rawhide Cuirass	P	2	3	Empty front-and-back cuirass of two broad hardened rawhide shells with low arm openings, squared shoulders, and blunt hip edge; no belt, lower garment, anatomy, metal plates, embossing, or corset seams.	A0-A4 hardened-hide torso shell; taxonomy B-03	https://www.britishmuseum.org/collection/object/Y_EA5473	review_reuse	post_calib	ChatGPT Image Jul 10, 2026, 11_25_30 PM (5).png	57aa0f58184356014e3cc981ce8991e5037add67e1a1b1ef1a3daa5f09e2c0f8	promote	body_hide_short	needs_user	body_cuirass	1	body	two-piece hardened rawhide shell
body_cuirass_copper_pectoral	body_cuirass	2	Copper Pectoral Cuirass	P	2	3	Empty rawhide cuirass carrying one broad hammered copper breast disc and smaller back disc, both seated against full doubled hide rather than straps; no belt, skirt, anatomy, sun pattern, or dangling fittings.	A1-A2 disc pectoral defense; taxonomy B-09	https://www.metmuseum.org/de/essays/warfare-in-ancient-greece	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 2\01__body_armor.png	2b19d3c8f0bd71cbc483f58893b81bd6314896c41e82ccf6737039395ad1e9df	not_audited	body_copper_pectoral	needs_user	body_cuirass	2	body	broad copper breast and back discs
body_cuirass_bronze_bell	body_cuirass	3	Bronze Bell Cuirass	P	2	3	Empty mature Bronze Age bell cuirass with distinct front and back sheet-bronze shells, convex chest, deep waist, and one flared hip rim; no belt, lower garment, anatomy, scenes, gems, or medieval breastplate shaping.	A2-A3 bronze bell cuirass	https://www.metmuseum.org/collection/the-collection-online/search/256134	generate_new	none	none	none	not_audited	none	unreviewed	body_cuirass	3	body	front-back bronze bell shells
body_cuirass_heroic	body_cuirass	4	Heroic Bronze Cuirass	P	2	3	Empty fourth-century-BCE prestige muscle cuirass with separate modeled front and back bronze shells, compact shoulders, and short plain hip flange; value comes from hammerwork, not jewels, scenes, or added plates.	Greek Apulian bronze cuirass, 4th century BCE, Met 1992.180.3a,b	https://www.metmuseum.org/collection/the-collection-online/search/256134	generate_new	none	none	none	not_audited	none	unreviewed	body_cuirass	4	body	sculpted prestige bronze shells
body_cuirass_skymetal_sheet	body_cuirass	5	Skymetal Sheet Cuirass	P	2	3	Empty severe front-and-back cuirass hammered from raw dark meteoric iron, with angular shoulder bridges, cylindrical rib cage, and stepped hip edge; no belt, skirt, anatomy, glow, gilding, symbols, or medieval harness.	T5 translation of ancient sheet-metal corslet geometry	https://www.britishmuseum.org/collection/object/G_1873-0820-223	generate_new	none	none	none	not_audited	none	unreviewed	body_cuirass	5	body	meteoric front-back sheet shells
