art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	action	source_kind	source_path	source_sha256	source_verdict	overlap_key	qa_status	ladder_id	rung	runtime_kind	mechanical_identity
wpn_dag_flint_lancet	dagger	1	Flint Lancet	P	1	2	a long narrow bifacial grey-flint dagger with a leaf-lancet outline, pressure-flaked faces, and an unadorned blunt grip end	Late Neolithic flint lancet dagger, British Museum 1869,0724.95	https://www.britishmuseum.org/collection/object/H_1869-0724-95	generate_new	none	none	none	not_audited	none	unreviewed	weapon_dagger	1	dagger	narrow bifacial stone thrust blade
wpn_dag_copper_lingulate	dagger	2	Copper Lingulate	P	1	2	a flat copper dagger with a long tongue-shaped blade, marked edge bevels, narrow hammered tang, and plain wood grip plates	Early Bronze Age tanged copper dagger from Sutton Courtenay, British Museum 1862,0719.7	https://www.britishmuseum.org/collection/object/H_1862-0719-7	generate_new	none	none	none	not_audited	none	unreviewed	weapon_dagger	2	dagger	flat tongue blade on narrow tang
wpn_dag_peschiera_flange	dagger	3	Peschiera Flange Dagger	P	1	2	a narrow straight-sided bronze dagger whose blade thickens in steps toward the center, with rounded shoulders, a long flanged hilt, and plain bone grip plates	Late Bronze Age Peschiera dagger with parallel-sided hilt, rounded shoulders, raised flanges, and stepped blade thickness, British Museum 1935,0823.3	https://www.britishmuseum.org/collection/object/G_1935-0823-3	generate_new	none	none	none	not_audited	none	unreviewed	weapon_dagger	3	dagger	flanged hilt with stepped blade core
wpn_dag_egypt_broad	dagger	4	Ivory-Butt Broadblade	P	1	2	a broad tapering bronze dagger with a compact openwork bone grip and a solid polished ivory butt, leaving most of the blade plain	Egyptian Second Intermediate Period bronze dagger with bone grip and pommel, British Museum EA65451	https://www.britishmuseum.org/collection/object/Y_EA65451	generate_new	none	none	none	not_audited	none	unreviewed	weapon_dagger	4	dagger	broad blade with open organic hilt
wpn_dag_steppe_skymetal_hilt	dagger	5	Steppe Skymetal Dagger	P	1	2	a compact raw dark skymetal dagger with a broad straight load-bearing blade and an integral openwork hilt of restrained interlaced geometry, with plain horn grip insets and no gems or scabbard	Eastern Zhou openwork cast-gold weapon-hilt geometry derived from Central Asian dagger forms, British Museum 1937,0416.218; translated to raw dark skymetal for T5	https://www.britishmuseum.org/collection/object/A_1937-0416-218	generate_new	none	none	none	not_audited	none	unreviewed	weapon_dagger	5	dagger	skymetal blade with integral openwork hilt
wpn_short_fen_flake	short_blade	1	Fen Flake Knife	P	1	2	a broad asymmetrical flaked-flint knife with one keen cutting edge, a thick natural back, and a short rawhide-wrapped butt	Late Neolithic to Early Bronze Age flaked flint dagger from Lode Fen, British Museum 1926,0618.1	https://www.britishmuseum.org/collection/object/H_1926-0618-1	generate_new	none	none	none	not_audited	none	unreviewed	weapon_short_blade	1	short_blade	asymmetrical backed flake cutter
wpn_short_cypriot_rivet	short_blade	2	Cypriot Rivet Knife	P	1	2	a compact triangular bronze knife blade with a low midrib and short flat tang, fitted directly between two plain hand-shaped dark hardwood grip scales secured only by two broad bronze shoulder rivets; no cord wrap, leather wrap, metal grip bands, crossguard, pommel cap, socket, or spear-like haft	Bronze riveted dagger blade from Cyprus, British Museum 1903,1215.34	https://www.britishmuseum.org/collection/object/G_1903-1215-34	generate_new	none	none	none	not_audited	none	unreviewed	weapon_short_blade	2	short_blade	two-rivet triangular blade
wpn_short_akinakes	short_blade	3	Achaemenid Akinakes	P	1	2	a compact double-edged iron short blade with a low midrib, swollen bar guard, wrapped grip, and plain T-shaped pommel, shown bare without a scabbard	Achaemenid short-sword and scabbard form documented by the Oxus Treasure weapon fitting, British Museum 1897,1231.22	https://www.britishmuseum.org/collection/object/W_1897-1231-22	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 1\04__short_blade.png	none	not_audited	balanced:faction_dustwind:dex:t1:short_blade	needs_user	weapon_short_blade	3	short_blade	symmetric midrib blade with bar guard
wpn_short_loop_knife	short_blade	4	Loop-Hilt Iron Knife	P	1	2	a short single-edged iron knife with a shallow curved cutting edge and a forged open loop continuing directly from the hilt	Iron Age Greek single-edged loop-handle knife, British Museum 1919,1119.47	https://www.britishmuseum.org/collection/object/G_1919-1119-47	generate_new	none	none	none	not_audited	none	unreviewed	weapon_short_blade	4	short_blade	curved edge with integral loop hilt
wpn_short_meteor_pugio	short_blade	5	Meteoric Pugio	P	1	2	a compact broad waisted double-edged dagger of raw dark meteoric iron, with a short plate hilt, plain horn grip scales, and small rounded pommel	Mainz Roman pugio dated AD 1-100, Landesmuseum Mainz 1917.96, documented in the British Museum Legion loan catalogue	https://www.britishmuseum.org/sites/default/files/2023-11/Protection-from-seizure-Legion.pdf	generate_new	none	none	none	not_audited	none	unreviewed	weapon_short_blade	5	short_blade	waisted plate-hilt close combat blade
