art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	intake_source
hands_stone_archer_guard	gloves	1	Stone Archer Guard	S	2	2	A single polished stone inner-forearm guard with a shallow waist, softly beveled ends, and four hourglass perforations for broad hide bindings; shown as a stiff plate, not a flexible cuff.	Direct Late Neolithic/Early Bronze Age stone wrist-guard with convex section and four fastening perforations.	https://www.britishmuseum.org/collection/object/H_1976-0401-3	new_generation
hands_sinew_forearm_wraps	gloves	1	Sinew Forearm Wraps	S	2	2	A pair of broad materially continuous rawhide strips coiled around empty forearm volumes from wrist toward elbow, with flat overlapping courses and ends buried under the final wrap; no hand shapes.	A-02 true forearm-wrap family using the hide and sinew sewing vocabulary preserved in Copper Age clothing.	https://www.iceman.it/en/oetzi/clothing	items_post_calib_batch[158]:ChatGPT Image Jul 13, 2026, 11_24_38 PM (9).png
hands_fur_combat_mitts	gloves	1	Fur Combat Mitts	S	2	2	A pair of empty mitten-shaped hide hand coverings with separate thumb bodies, inward fur at the cuffs, and doubled rawhide palms; crude sinew seams only.	Copper Age hide garments sewn with animal sinew support a conservative cold-weather mitt construction.	https://www.iceman.it/en/oetzi/clothing	new_generation
hands_rawhide_wrist_cuffs	gloves	1	Rawhide Wrist Cuffs	S	2	2	A pair of shallow stiff rawhide bands ending at the wrists, each formed as one overlapping continuous cuff; broad plain surfaces, asymmetric repairs, and no forearm extension.	A-14 short wrist-cuff silhouette grounded in ancient hide cutting and overlapping construction.	https://www.iceman.it/en/oetzi/clothing	items_post_calib_batch[167]:ChatGPT Image Jul 13, 2026, 11_28_53 PM (9).png
hands_copper_laminar_bracers	gloves	2	Copper Laminar Bracers	S	2	2	A protective pair of short forearm guards, each formed from three broad transverse copper-alloy lames overlapping from wrist toward elbow and laced to one continuous thick leather backing.	Direct Roman laminated bronze arm-guard fragment from Newstead establishes a genuine protective transverse-lame forearm construction.	https://www.nms.ac.uk/explore-our-collections/collection-search-results/armour-laminated-arm-guard-fragment/135675	new_generation
hands_boiled_hide_bracers	gloves	2	Boiled-Hide Bracers	S	2	2	A pair of full forearm shells shaped from materially continuous hardened hide, thickened at the outer face, lined by softer leather, and ending cleanly at the wrist.	Ancient hard and soft leather armor construction provides a direct material and backing precedent.	https://www.metmuseum.org/art/collection/search/26565	new_generation
hands_copper_scale_bracers	gloves	2	Copper-Scale Bracers	S	2	2	A pair of full forearm guards ending at the wrist, built as continuous stiff leather cylinders faced by a few broad overlapping hammered copper scales rawhide-laced through the backing.	Direct ancient overlapping metal scales on continuous leather backing, translated to the copper rung.	https://www.metmuseum.org/art/collection/search/326389	new_generation
hands_hide_splint_bracers	gloves	2	Hide-Splint Bracers	S	2	2	A pair of full forearm guards ending at the wrist, built from narrow boiled-hide splints on a soft leather backing and tied by transverse rawhide cords.	A-06 longitudinal splint bracer, drawing on ancient scale and leather-backing attachment logic.	https://www.metmuseum.org/art/collection/search/26565	items_post_calib_batch[148]:ChatGPT Image Jul 13, 2026, 11_17_54 PM (9).png
hands_bronze_scaleguards	gloves	3	Bronze Lamellar Guards	S	2	2	A pair of rigid full-forearm guards ending at the wrist, with broad overlapping bronze scales completely covering continuous thick leather backings in pierced load-bearing rows.	Direct ancient overlapping armor scales attached to leather backing, retained as a true armored bracer family.	https://www.metmuseum.org/art/collection/search/326389	new_generation
hands_bronze_vambraces	gloves	3	Hammered Bronze Vambraces	S	2	2	A pair of plain empty forearm shells in hammered bronze, gently tapered from elbow to wrist with rolled edges, broad leather lining bands, and mostly undecorated metal.	A-04 paired shaped metal forearm shells using the same hammered sheet and lining logic as Classical Greek limb armor.	https://www.metmuseum.org/art/collection/search/247494	items_post_calib_batch[138]:ChatGPT Image Jul 13, 2026, 10_43_11 PM (9).png
hands_weighted_cesti	gloves	3	Bronze-Ridge Cesti	S	2	2	A pair of empty heavy leather hand cages enclosing palm, thumb base, and knuckles, each with one compact blunt bronze striking ridge; no spikes or anatomy.	Direct Roman leather boxing guards excavated at Vindolanda support the complete protective hand-cage family.	https://www.vindolanda.com/Blogs/blog/vindolandas-top-10-finds-of-the-decade	new_generation
hands_bronze_splint_manica	gloves	3	Bronze-Splint Manica	S	2	2	A single long arm defense from wrist to upper arm, made from broad transverse bronze splints laced edge-to-edge over one continuous leather sleeve and curving continuously around the elbow.	Direct bronze laminated Roman arm-guard fragment from Newstead, dated AD 80-180.	https://www.nms.ac.uk/explore-our-collections/collection-search-results/armour-laminated-arm-guard-fragment/135675	new_generation
hands_lacquer_scale_bracers	gloves	4	Lacquer-Scale Bracers	S	2	2	A pair of full forearm guards ending at the wrist, made entirely from broad black-red lacquered hard-leather scales rawhide-laced over continuous soft leather sleeves.	Direct pre-AD Scythian/Subeixi hard-leather scales secured by rawhide laces to soft leather.	https://www.metmuseum.org/art/collection/search/26565	new_generation
hands_gilt_copper_cuffs	gloves	4	Gilt Copper Cuffs	S	2	2	A pair of broad rigid copper-alloy wrist cuffs with plain open backs, continuous metal bodies, softly expanded ends, and one narrow bounded gilt edge on each.	Direct sixth-fifth-century BCE Cypriot gilded bronze bracelet, retained as a complete rigid cuff form.	https://www.metmuseum.org/art/collection/search/243000	new_generation
hands_iron_scale_manica	gloves	4	Iron-Scale Manica	S	2	2	A single full arm sleeve ending at the wrist, with broad overlapping iron scales stitched in offset rows to one continuous thick leather backing from forearm to upper arm.	Direct Roman laminated arm-guard artifact supplies the full-arm family; ancient Achaemenid finds establish iron scale on leather as a period construction.	https://www.nms.ac.uk/explore-our-collections/collection-search-results/armour-laminated-arm-guard-fragment/135675	new_generation
hands_skymetal_wristguard	gloves	5	Skymetal Wristguard	S	2	2	A single broad contiguous inner-forearm plate hammered from raw dark meteoric iron, shallowly waisted with rolled edges and four wide binding slots.	Direct prehistoric wrist-guard geometry translated into T5 metal as one unarticulated plate.	https://www.britishmuseum.org/collection/object/H_1976-0401-3	new_generation
hands_meteoric_vambraces	gloves	5	Meteoric Vambraces	S	2	2	A severe pair of empty elbow-to-wrist forearm shells hammered from dark meteoric iron, each with a central reinforcing ridge, rolled edge, and broad leather lining bands.	A-04 shaped metal forearm shells scaled from Classical anatomical greave sheet-metal construction.	https://www.metmuseum.org/art/collection/search/247494	new_generation
feet_grass_net_shoes	boots	1	Grass-Net Shoes	S	2	2	A pair of bulky closed shoes with deerskin outer uppers, leather soles, visible bast-fiber inner nets, and dry grass padding; hand-sewn, irregular, and empty.	Ötzi's Copper Age multilayer footwear: deerskin upper, bast mesh, grass insulation, and leather sole.	https://www.iceman.it/en/oetzi/clothing	new_generation
feet_bark_sandals	boots	1	Bark-Fibre Sandals	S	2	2	A pair of flat coiled-bark soles with one simple woven toe thong and ankle cord each, shown empty and slightly mismatched; no feet or modern stitching.	Ancient Egyptian woven-fibre sandal with simple sole, toe thong, and ankle strap.	https://www.britishmuseum.org/collection/object/Y_EA4418	new_generation
feet_rawhide_gathered_shoes	boots	1	Rawhide Gathered Shoes	S	2	2	A pair of one-piece rawhide shoes gathered by cord through punched edge holes around a fully closed toe, with soft irregular soles and no separate heel.	F-04 carbatina/one-piece shoe family, supported by ancient and long-lived gathered-hide construction.	https://www.britishmuseum.org/collection/object/H_Eu1997-04-126-a-b	new_generation
feet_fur_ankle_wraps	boots	1	Fur Ankle Wraps	S	2	2	A pair of separate soft hide foot bags with complete closed toes, wrapped at the ankles by two broad fur-backed hide bands; raw sinew ties tucked close.	Copper Age hide, leather, and sinew clothing technology used for a conservative wrapped closed-foot form.	https://www.iceman.it/en/oetzi/clothing	new_generation
feet_laced_hide_sandals	boots	2	Laced Hide Sandals	S	2	2	A pair of flat hide-soled sandals with dense structural rawhide lacing woven continuously around instep and ankle; empty, low, undecorated, and free of metal closures.	F-02 laced sandal with structural thonging, supported by Late Antique Egyptian cut-and-sewn leather footwear.	https://www.britishmuseum.org/collection/object/Y_EA53916	new_generation
feet_copper_age_carbatinae	boots	2	Copper-Age Carbatinae	S	2	2	A pair of low closed-toe shoes cut from single tan hide sheets, edges gathered over the instep by rawhide lace, flat soft soles, no welt and no shaped modern heel.	F-04 one-piece gathered leather shoe, a pre-Roman construction family.	https://www.britishmuseum.org/collection/object/H_Eu1997-04-126-a-b	new_generation
feet_linen_sole_wraps	boots	2	Linen Sole Wraps	S	2	2	A pair of thick folded linen foot wrappings attached to separate oval rawhide soles by sparse edge cords, with complete wrapped toe volumes and tucked ankle ends; no feet.	F-12 foot wrap with a distinct hard-wearing sole, separated from woven shoes and one-piece felt boots.	https://www.britishmuseum.org/collection/object/Y_EA53916	new_generation
feet_laced_hide_boots	boots	2	Laced Hide Boots	S	2	2	A pair of soft ankle-high leather boots with complete rounded toes, side seams and functional rawhide lacing through punched holes; flat soles, no welt or heel block.	F-06 ancient soft ankle boot construction using hand-cut hide and rawhide lacing.	https://www.iceman.it/en/oetzi/clothing	new_generation
feet_marching_caligae	boots	3	Marching Caligae	S	2	2	A pair of empty Roman marching sandals with open cut-leather uppers, dense structural ankle lacing, and heavy flat soles set with sparse hand-driven hobnails; no feet.	F-03 caliga-type marching sandal, a Roman military footwear family.	https://www.britishmuseum.org/collection/object/Y_EA53916	new_generation
feet_closed_heel_sandals	boots	3	Closed-Heel Sandals	S	2	2	A pair of broad layered-leather sandals with complete rounded heel cups, divided toe bands, raw thong stitching through the sole edge, and no metal sole hardware.	Direct Late Antique Egyptian layered leather sandal with closed heel and thong-stitched sole.	https://www.britishmuseum.org/collection/object/Y_EA53916	new_generation
feet_hide_splint_boots	boots	3	Hide-Splint Boots	S	2	2	A complete pair of soft closed hide foot bags with flat soles, each continuing into a calf wrap that carries broad vertical boiled-hide splints on continuous leather backing; no anatomy.	L-10 splint greave joined to an explicit ancient soft-footwear base; leather scale backing supplies the reinforcement logic.	https://www.metmuseum.org/art/collection/search/26565	new_generation
