art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	intake_source
shield_hide_round	shield	1	Hide Roundshield	S	2	3	a plain round rawhide fighting face stretched over a bent wood frame, with a slightly convex center and a thick hide-bound rim, front face only	Iron Age hide-shaped shield model from the Salisbury Hoard, used as evidence for hide silhouette and binding	https://www.britishmuseum.org/collection/object/H_1998-0401-1_1	index84:ChatGPT Image Jul 10, 2026, 11_25_30 PM (2).png
shield_bark_oval	shield	1	Willow Bark Shield	P	2	3	a tall sub-oval shield made from one thick sheet of willow bark stiffened by four narrow wood laths and edged in split hazel, front fighting face only	Iron Age Enderby bark shield, willow bark body with wood stiffeners and hazel edging	https://www.britishmuseum.org/collection/object/H_2019-8021-1	new_generation
shield_reed_pelta	shield	1	Reed Pelta	P	2	3	a compact crescent shield with a tightly bundled cane core under one continuous rawhide face and a hard wood rim, no basket gaps, front fighting face only	Ancient crescent pelta silhouette documented in Hellenistic art; construction kept to ancient cane and hide methods	https://resources.metmuseum.org/resources/metpublications/pdf/Art_of_the_Hellenistic_Kingdoms_From_Pergamon_to_Rome.pdf	multi_context:faction_dustwind - DEX - tier 1/03__shield.png
shield_wood_round	shield	1	Plank Roundshield	S	2	3	a round center-grip shield of three joined hardwood boards with one low plain wood boss and a rawhide edge, front fighting face only	Late Antique center-grip construction evidenced by the Vermand shield boss and surviving grip	https://www.metmuseum.org/art/collection/search/22635	new_generation
shield_hide_figure_eight	shield	1	Waisted Oxhide Shield	P	2	4	a tall figure-eight body shield with two broad rounded lobes, a narrow waist, thick oxhide over a light wood frame, and a plain raised edge, front fighting face only	Bronze Age Aegean figure-eight shield silhouette evidenced in period panoply imagery	https://www.metmuseum.org/de/essays/warfare-in-ancient-greece	multi_context:faction_dustwind - STR - tier 1/03__shield.png
buckler_hide_oval	buckler	1	Hide Oval Buckler	S	2	2	a compact oval hand shield of one thick rawhide face tensioned over a light bent-wood frame, with a low wood boss and a continuous hide-bound edge, front fighting face only	Iron Age hide-shaped shield model from the Salisbury Hoard, used directly for organic silhouette and edge treatment	https://www.britishmuseum.org/collection/object/H_1998-0401-1_1	new_generation
shield_oxhide_tower	shield	2	Oxhide Tower Shield	P	2	4	a tall rounded-rectangle shield of layered dark oxhide over wood, with a narrow vertical bronze spine, three restrained bosses, and a hard bound rim, front fighting face only	Ancient Near Eastern and Roman tall body-shield construction; rectangular scutum binding provides surviving edge evidence	https://www.britishmuseum.org/collection/object/H_1982-0103-55	index53:ChatGPT Image Jul 10, 2026, 11_24_03 PM (2).png
buckler_copper_hide	buckler	2	Copper-Hide Buckler	S	2	2	a small oval rawhide-and-wood buckler with one shallow hammered copper plate peened over its complete central grip zone, plus a thick bound organic rim, front fighting face only	Italic convex copper-alloy shield facings attached to complete organic shield bodies	https://www.metmuseum.org/art/collection/search/255365	new_generation
shield_cane_oval	shield	2	Cane Oval Shield	P	2	3	a long oval defense of tightly wound cane under a single continuous hide skin, reinforced by one wood central rib and a thick rawhide rim, never basket-like	Iron Age long oval shield proportions anchored by the Witham shield and its organic backing evidence	https://www.britishmuseum.org/collection/object/H_1872-1213-1	new_generation
shield_hide_dipylon	shield	2	Open-Side Body Shield	P	2	4	a tall oval oxhide shield with two deep opposing side cutouts, a continuous wood frame, and a narrow plain edge, front fighting face only	Bronze and Early Iron Age Dipylon or open-side shield silhouette documented in Greek material culture	https://www.metmuseum.org/de/essays/warfare-in-ancient-greece	multi_context:faction_north - DEX - tier 3/03__shield.png
shield_wood_hexagonal	shield	2	Hexagonal Hide Shield	P	2	3	a six-sided hardwood shield under one taut rawhide face, with a low copper boss, straight bound edges, and no front straps, front fighting face only	Romano-British shield binding identified as belonging to a rectangular scutum or hexagonal shield	https://www.britishmuseum.org/collection/object/H_1982-0103-55	new_generation
buckler_laminated_hide	buckler	2	Laminated Hide Buckler	S	2	2	a compact rounded hand shield made from three cross-laid thin wood layers under one plain leather face, fixed by sparse peened copper nails around the edge, front fighting face only	Meroitic or Roman shield fragment from Qasr Ibrim, directly preserving three plywood layers, leather covering, and copper-alloy nails	https://www.britishmuseum.org/collection/object/Y_EA71844	new_generation
shield_bronze_yetholm	shield	3	Ribbed Bronze Shield	S	2	3	a large shallow sheet-bronze roundshield beaten from one disc, with a stepped central boss, concentric ribs, and a turned front rim, active-service finish, front face only	Late Bronze Age Yetholm-type sheet-bronze shield from Rhyd-y-Gorse	https://www.britishmuseum.org/collection/object/H_1873-0210-2?selectedImageId=1168430001	new_generation
shield_bronze_parma	shield	3	Bronze Parma	P	2	3	a compact oval wood shield with a broad hammered bronze center plate, low hand boss, pale rawhide edge, and otherwise plain face, front fighting face only	Ancient bronze boss and organic shield construction, with small oval parma proportions	https://www.metmuseum.org/art/collection/search/244541	multi_context:faction_north - DEX - tier 1/03__shield.png
shield_celtic_spine	shield	3	Spined Oval Shield	P	2	4	a long narrow oval wood-and-hide shield with an elongated hammered bronze central spine, spindle boss, small terminal roundels, and a bound edge, mostly plain, front face only	Iron Age Chertsey shield, complete oval bronze facing with central spine and boss	https://www.britishmuseum.org/collection/object/H_1986-0901-1	new_generation
shield_scutum_rect	shield	3	Legion Scutum	P	2	4	a tall curved rectangular shield of laminated wood under taut hide, with a plain iron hand boss, straight bronze edge binding, and no emblems, front fighting face only	Roman rectangular scutum attested by the Junius Dubitatus center panel and Camerton edge binding	https://www.britishmuseum.org/collection/object/H_1893-1213-1	new_generation
shield_scutum_oval	shield	3	Oval Scutum	P	2	4	a tall strongly curved oval shield of wood and hide with a central iron boss, raised longitudinal rib, and narrow bronze rim, front fighting face only	Late Roman oval center-grip shield construction evidenced by the 4th-century Vermand boss and grip	https://www.metmuseum.org/art/collection/search/22635	new_generation
buckler_bronze_stepped_boss	buckler	3	Bronze Boss Buckler	S	2	2	a compact round hand shield with a shallow beaten bronze face, one broad stepped boss, and a thick rolled rim, front fighting face only	Italic 8th-7th century BC concentric bronze shield boss	https://www.metmuseum.org/art/collection/search/248657	new_generation
shield_battersea_facing	shield	4	Battersea Facing Shield	P	2	3	a tall narrow oval wood shield faced by four fitted hammered-bronze sheets riveted into three raised structural panels around a central boss, with no glass studs or copied motifs, front face only	Iron Age Battersea shield, directly preserving a bronze facing of four sheets and three riveted panels formerly attached to wood	https://www.britishmuseum.org/collection/object/H_1857-0715-1	new_generation
