source_kind	source_path	source_sha256	source_class	decision	assigned_art_id	reason
post_calib	ChatGPT Image Jul 10, 2026, 10_53_50 PM (4).png	fc3ecd0997cc295a9bd1f54b2f40e2af2e2011b4cbc129bf0834913d2bbdbbe6	amulet	needs_user	none	promoted stone-and-tusk cluster lacks a direct source for its stone cradle interface
post_calib	ChatGPT Image Jul 10, 2026, 11_03_56 PM (6).png	d57c2fad06e13fee724c071d9af45cc0160f205920fc895c5ebbe008bf24a867	ring	assign_to_row	ring_bronze_signet	promoted octagonal signet directly matches the T3 authority-bezel row
post_calib	ChatGPT Image Jul 10, 2026, 11_04_16 PM (8).png	a01dbdb20aaed6ebd7a27732d15e76517a2000e8cacd1e9fef8358b26c1a15d9	ring	alias_existing	ring_bronze_geometric_panel	promoted broad geometric band is an alternate treatment of the same bounded-panel base
post_calib	ChatGPT Image Jul 10, 2026, 11_25_30 PM (4).png	2860340f0189c5a5ee318f8cd7669034eace55d975d0d743ba3d9b886782d480	amulet	needs_user	amulet_bronze_tooth	promoted tooth-and-cowrie cluster is relevant but exceeds the single-focal-object rule
post_calib	ChatGPT Image Jul 13, 2026, 11_24_37 PM (4).png	239a3bae22daab02e02e4b663854c6bbe12fe82e2e26d1e50ec456e8623f63ba	amulet	needs_user	none	promoted token uses a tiny toggle interface that repeats a recorded model failure
post_calib	ChatGPT Image Jul 13, 2026, 11_28_53 PM (8).png	bb33583cc51e7906731f3009ca92be0ffbede065c7e086f766a4a3dec44f8463	ring	alias_existing	ring_bronze_signet	promoted dark signet is an alternate blank authority-bezel treatment
post_calib	ChatGPT Image Jul 13, 2026, 11_51_11 PM (4).png	095895a8b0e7d34fe4ad4743407c98d3c2c4c0e147d8a4502e4750ed084ffa49	amulet	assign_to_row	amulet_tusk_tip	promoted single capped tooth directly matches the compact tusk-tip base
post_calib	ChatGPT Image Jul 13, 2026, 11_51_12 PM (8).png	9c7f7033c0fe21d11c4dc3f7e07794bfb0a059efdefbc3b93cefa17eb198c654	ring	assign_to_row	ring_bronze_v	promoted broad chevron band maps to the bounded V-crown ring pending icon-scale review
post_calib	ChatGPT Image Jul 14, 2026, 01_18_49 AM (8).png	f09912de86c5c248157e950ef796127d69c8df5888e21717d8295e9ce40f6935	ring	assign_to_row	ring_bronze_geometric_panel	promoted broad interlaced panel directly matches the T3 geometric-panel row
post_calib	ChatGPT Image Jul 14, 2026, 12_09_56 AM (8).png	a05a90d9056797b5b81cdab57dbdd91c886c14010da7a04bbcb43c4ac0e510cb	ring	alias_existing	ring_bronze_v	promoted narrow chevron band is an alternate restrained V-tooling treatment
post_calib	ChatGPT Image Jul 10, 2026, 10_53_50 PM (8).png	b27a2d35da76d0f0943ee15aa7a466ade80c4f400b2ca630608f6cedd1b327b8	ring	needs_user	none	shell-set ring is relevant but needs bounded-exotic and icon-scale review
post_calib	ChatGPT Image Jul 10, 2026, 11_25_30 PM (8).png	8392a69c9a31e7d4b423966a9ccecb55e1d9d0774589648cd56e94fb5f00f12d	ring	needs_user	none	readable signet remains too close to a radial or star face
post_calib	ChatGPT Image Jul 10, 2026, 11_25_56 PM (4).png	9a62b448cf264d2a0de32d6c09dc50dc71b95245ec523a6b6fecdf1b6ad37e51	amulet	needs_user	none	clean cabochon pendant is relevant only after high-finish tier screening
post_calib	ChatGPT Image Jul 10, 2026, 11_25_58 PM (8).png	60a59b29a3202a5158e5c33ba30c30091896d4e409df0525aa7af78edacaccff	ring	needs_user	none	ornate bezel is readable but unique-tier rather than a generic base
post_calib	ChatGPT Image Jul 10, 2026, 11_39_34 PM (4).png	01d966e40715f6d222e41f5155e8d6f93b0b27d981f9b555e040e9736c627441	amulet	needs_user	none	amber pendant has ornate frame and pointed drops that need unique-tier review
post_calib	ChatGPT Image Jul 10, 2026, 11_39_34 PM (8).png	e26d46e43a6602c456a7f874cf66331bb3211ad5c64eb5b2c0346f4adaf94e7a	ring	needs_user	none	blue-stone ring exceeds generic-base ornament density
post_calib	ChatGPT Image Jul 12, 2026, 11_03_07 PM (8).png	e95cc1408ff61130023a37840b325c8827a81ff69a2d77a526180cff2bb9b689	ring	needs_user	none	dark signet face remains close to a floral or radial emblem
post_calib	ChatGPT Image Jul 13, 2026, 10_43_11 PM (8).png	2ea2030e81ee03bc1c66c1165009e531ae5f9a3eb3541c0ff8af0a9444c4de6a	ring	needs_user	none	double cabochon bezel is relevant only for unique-tier screening
post_calib	ChatGPT Image Jul 13, 2026, 11_28_51 PM (4).png	86344a08f520d1fdce94002f2201a6f7ba8d7d0d18c24f563bb05bd0eb98dde2	amulet	needs_user	none	fitted stone cage and bead terminals need join-logic review
post_calib	ChatGPT Image Jul 13, 2026, 11_24_38 PM (8).png	5712874ae80229d055db4baa5cb5271633ed3d4e7cfd6bb30b9ca094fef401c8	ring	needs_user	none	copper signet is over-distressed for active-service base gear
post_calib	ChatGPT Image Jul 14, 2026, 01_03_28 AM (8).png	8484a8a055e8aa5e16f946ce3b0914dd037dfb3a8ea3345e275334da62aac47e	ring	needs_user	none	plain signet needs incised-glyph and lore-symbol screening
