art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	intake_source
quiver_bark_tube	quiver	1	Bark Tube Quiver	P	2	3	A complete standalone cylindrical bark-and-hide arrow container with a closed wooden base, plain capped mouth, and one broad shoulder strap; empty, with no arrows, bow, bow limb, bowstring, or archery set.	Archaic organic quiver construction; silhouette constrained by the Subeixi/Scythian leather quiver, 8th-3rd century BC.	https://www.metmuseum.org/art/collection/search/26565	new_generation
quiver_rawhide_cap	quiver	2	Rawhide Cap Quiver	P	2	3	A complete tapered rawhide quiver with a stiffened rim, fitted hide cap, reinforced bottom, and broad carrying strap; empty standalone container only, no arrows or bow-shaped object.	Leather quiver and carrying equipment preserved with the Subeixi/Scythian panoply, 8th-3rd century BC.	https://www.metmuseum.org/art/collection/search/26565	new_generation
quiver_copper_mouth	quiver	3	Copper-Mouthed Quiver	P	2	3	A long sewn-leather quiver with a narrow hammered-copper mouth band, rigid base cup, restrained edge binding, and one load-bearing strap; capped and empty, no bow or arrows.	Achaemenid gorytos copper fitting from Deve Huyuk, 5th-4th century BC, adapted to a separate quiver mouth and base.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	new_generation
quiver_lacquered_reed	quiver	4	Lacquered Reed Quiver	P	2	3	A complete rigid quiver of tightly bundled reed under dark mineral lacquer, with a broad leather back strip, bronze rim, flush lid, and compact side strap; empty, no arrows, no bow.	Scythian and Achaemenid structured quiver evidence; organic body is a conservative reconstruction around surviving fittings and depictions.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	new_generation
quiver_riven_mouth	quiver	5	Riven-Mouth Quiver	P	2	3	A severe dark-hide quiver stiffened by three plain raw skymetal ribs, with a deep capped mouth, solid base shoe, and broad shoulder harness; active-service finish, empty, no arrows or bow.	Otherworldly ladder rung retaining the proportions and stitched fitting logic of the Achaemenid gorytos find.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	new_generation
gorytos_sewn_hide	gorytos	1	Sewn-Hide Gorytos	P	2	3	A complete empty combined bowcase-quiver container in thick sewn hide, with the characteristic asymmetric stepped outline, closed mouth covers, lower beak, and broad suspension strap; absolutely no bow, arrows, string, or loose missiles.	Early steppe combined bowcase-quiver form shown in art and surviving fittings; Achaemenid example from Deve Huyuk.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	new_generation
gorytos_copper_beak	gorytos	2	Copper-Beak Gorytos	P	2	3	A standalone empty leather gorytos with an asymmetric double-lobed body, stitched copper beak-shaped lower fitting, reinforced mouth, and wide belt-and-shoulder harness; no bow, arrows, or bow-shaped accessory.	Achaemenid copper beak fitting pierced for stitching to a gorytos, 5th-4th century BC.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	new_generation
gorytos_steppe	gorytos	3	Steppe Gorytos	P	2	3	A complete structured hide gorytos with a broad bowcase lobe, narrow quiver lobe, plain bronze edge plates, closed top flaps, and strong diagonal suspension; empty container only, no contents.	Scythian/Achaemenid gorytos construction evidenced by the Deve Huyuk fitting and contemporary depictions.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	new_generation
gorytos_nightglass	gorytos	4	Nightglass Gorytos	P	2	3	A dark lacquered-wood and hide gorytos with a clean crescent outer profile, small protected obsidian edge insets confined to the base, bronze mouth rims, and broad harness; capped and empty, no bow or arrows.	Ritual/exotic extrapolation from Achaemenid stitched gorytos geometry, with brittle stone restricted to protected inset fields.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	new_generation
gorytos_black_beak	gorytos	5	Black-Beak Gorytos	P	2	3	A large empty gorytos of black hide over a thin wood core, with one raw skymetal beak shoe, two plain structural ribs, flush mouth covers, and a heavy load-bearing strap; no bow, arrows, string, or loose gear.	Otherworldly rung preserving the stitched metal-beak interface of the excavated Achaemenid fitting.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	new_generation
