art_id	source_filename	source_sha256	display_name	slot_guess	runtime_slot	runtime_form_id	material_id	tier	stat_axis	faction	confidence	canvas	grid_w	grid_h	description	triage_reason	qa_status
pc2_001	01817d6c-cbed-4ce6-aad5-2fdf9ab7e6c5.png	e76507e4ebd114ec077137c41e9d36c40682e0af6a96efe23ed6783210bdfb75	Serrated Wooden Paddle Club with Wrist Cord	impact	weapon	batch_impact	hide	1	DEX	Stonewood	high	P	1	3	serrated wooden paddle club with wrist cord	matches Stonewood patu signature, single coherent item, clean silhouette	accepted
pc2_002	152dca1a-b17e-46c3-b11a-611e28fb28b5.png	1e39546bcae1c423f523f1b6fe1f0dde17b528455ed3a2d1f9d1e8e2623765c9	Hand-stitched Hide Mittens with Fur Trim	gloves_hands	hands	batch_gloves	quilted	2	STR	North	med	S	2	2	pair of hand-stitched hide mittens with fur trim	proper pair, hand whipstitch, pre-ancient construction	accepted
pc2_004	6e3de3da-df7b-495a-9728-c0ab0cd9020e.png	4bce26cd9c997ad96b7510616df8e542bb998b88e80e99c43e874459d620a111	Wooden Blade Edged with Lashed Shark Teeth	sword	weapon	batch_sword	bone	1	DEX	Stonewood	high	P	1	3	wooden blade edged with lashed shark teeth	macuahuitl-like Stonewood signature, coherent tooth-on-wood lashing	accepted
pc2_005	7e6a9c77-64fb-4736-ad90-4652ae7f03cb.png	07d737f178e2ce78ac18432fce1316e755a1a21afb3254e2a7630d721b51be65	Knotted Woven Scarf, Geometric Borders, Fringed Ends	outer_layer	cloak	batch_outer	quilted	2	DEX	Dustwind	med	P	2	3	knotted woven scarf, geometric borders, fringed ends	Dustwind scarf language, geometric not solar motifs, coherent weave	accepted
pc2_007	ChatGPT Image Aug 13, 2026, 06_55_07 PM.png	4606de3eddb207fe63fd1e92470a47dd06343160e390a909fbd9e061e3b82974	Laced Hide-plate Helmet with Lamellar Cheek Guard	helmet	head	batch_helmet	quilted	2	DEX	Dustwind	high	S	2	2	laced hide-plate helmet with lamellar cheek guard	steppe lamellar language, both sides implied, coherent lacing	accepted
pc2_008	ChatGPT Image Aug 13, 2026, 06_55_18 PM.png	3948a149dacdd991ba5336fb9f819cf11efbc45ee01f3e7f3bafef1ecd21039b	Bronze Lamellar Vest with Chest Plaque and Belt	body_armor	body	batch_body	bronze	3	STR+DEX	Dustwind	high	P	2	3	bronze lamellar vest with chest plaque and belt	Dustwind lamellar signature, coherent lacing and leather trim	accepted
pc2_009	ChatGPT Image Aug 13, 2026, 06_55_30 PM.png	e5128db698d7414d53218de0562b7aaac981c49a364bd1dfaf73e2283a0bc21b	Green Woven Tunic with Crimson Patterned Border Bands	body_armor	body	batch_body	quilted	2	DEX	North	high	P	2	3	green woven tunic with crimson patterned border bands	North hemmed wool with woven borders, geometric not solar motifs	accepted
pc2_010	ChatGPT Image Aug 13, 2026, 06_55_41 PM.png	28b177bec56f274f55a9868fd465727e46d2eaf601f58a8e99b59decfab4637d	Tall Rectangular Hide-faced Shield with Painted Diagonal Stripes	shield	shield	batch_shield	quilted	2	STR	Stonewood	low	P	2	3	tall rectangular hide-faced shield with painted diagonal stripes	front face only, coherent hide-on-wood stitching, faction read weak	accepted
pc2_011	ChatGPT Image Aug 13, 2026, 06_55_56 PM.png	087cf0a04388778a7cef65d0e427f57f509dc6cd5b0cde11c78391c1c0242cf4	Copper Leaf-blade Dagger, Leather-wrapped Grip, Wood Pommel	dagger	weapon	batch_dagger	quilted	2	DEX	unclear	med	P	1	2	copper leaf-blade dagger, leather-wrapped grip, wood pommel	valid Bronze Age dirk form, coherent materials, generic faction read	accepted
pc2_012	ChatGPT Image Aug 13, 2026, 06_56_08 PM.png	76626ced3a0de15a4f5e908bdbf1348a0d9dadd92d5a4a971bd5632ed3c87c11	Empty Leather Quiver with Strap and Red Woven Bands	quiver	quickrig	batch_quiver	quilted	2	DEX	Dustwind	med	P	2	3	empty leather quiver with strap and red woven bands	no arrows shown per Gate 3, steppe archery language	accepted
