art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	intake_source
wpn_dag_flint_lancet	dagger	1	Flint Lancet	P	1	2	a long narrow bifacial grey-flint dagger with a leaf-lancet outline, pressure-flaked faces thickening into an unadorned grip end	Late Neolithic flint lancet dagger, British Museum 1869,0724.95	https://www.britishmuseum.org/collection/object/H_1869-0724-95	new_generation
wpn_dag_fen_flake	dagger	1	Fen Flake Knife	P	1	2	a broad asymmetrical flaked-flint knife with one keen cutting edge, a thick natural back, and a short rawhide-wrapped butt	Late Neolithic/Early Bronze Age flaked flint dagger from Lode Fen, British Museum 1926,0618.1	https://www.britishmuseum.org/collection/object/H_1926-0618-1	new_generation
wpn_dag_copper_lingulate	dagger	2	Copper Lingulate	P	1	2	a flat copper dagger with a long tongue-shaped blade, marked edge bevels, narrow hammered tang, and plain wood grip plates	Early Bronze Age tanged copper dagger from Sutton Courtenay, British Museum 1862,0719.7	https://www.britishmuseum.org/collection/object/H_1862-0719-7	new_generation
wpn_dag_cypriot_rivet	dagger	2	Cypriot Rivet Knife	P	1	2	a compact triangular bronze dagger blade fixed by two visible shoulder rivets to a short dark wood hilt	Bronze riveted dagger blade from Cyprus, British Museum 1903,1215.34	https://www.britishmuseum.org/collection/object/G_1903-1215-34	new_generation
wpn_dag_peschiera_flange	dagger	3	Peschiera Flange Dagger	P	1	2	a narrow straight-sided bronze dagger whose blade thickens in restrained steps toward the center, with rounded shoulders, a long flanged hilt, and plain pale bone grip plates	Late Bronze Age Peschiera dagger with parallel-sided hilt, rounded shoulders, raised flanges, and stepped blade thickness, British Museum 1935,0823.3	https://www.britishmuseum.org/collection/object/G_1935-0823-3	new_generation
wpn_dag_egypt_broad	dagger	4	Ivory-Butt Broadblade	P	1	2	a broad tapering bronze dagger with a compact openwork bone grip and a solid polished bone pommel, most blade surface left plain	Egyptian Second Intermediate Period bronze dagger with bone grip and pommel, British Museum EA65451	https://www.britishmuseum.org/collection/object/Y_EA65451	new_generation
wpn_dag_meteor_pugio	dagger	5	Meteoric Pugio	P	1	2	a compact broad waisted double-edged dagger of raw dark meteoric iron, with a short plate hilt, plain horn grip scales, and small rounded pommel	Mainz Roman pugio dated AD 1-100, Landesmuseum Mainz 1917.96, documented in the British Museum Legion loan catalogue	https://www.britishmuseum.org/sites/default/files/2023-11/Protection-from-seizure-Legion.pdf	new_generation
wpn_swd_flint_longblade	sword	1	Long Flint Blade	P	1	3	an exceptionally long thick bifacial flint blade with a restrained lanceolate outline, straight sharp margins, and a blunt basal grip wrapped tightly in rawhide	Late Neolithic bifacial flint lancet-dagger geometry, British Museum 1869,0724.95	https://www.britishmuseum.org/collection/object/H_1869-0724-95	new_generation
wpn_swd_copper_fork	sword	2	Copper Forksword	P	1	3	a broad cast copper sword with a paddle-like blade, low central ridge, integral narrow grip, and a bifurcated fork terminal	South Asian Copper Hoard fork-pommel sword, British Museum 1915,0216.1	https://www.britishmuseum.org/collection/object/A_1915-0216-1	new_generation
wpn_swd_bronze_rapier	sword	2	Bronze River Rapier	P	1	3	a slender bronze thrusting sword with acute point, angular midrib, narrow hollowed edges, and a small riveted hilt plate	Late Bronze Age Tyne river rapier, British Museum WG.1683	https://www.britishmuseum.org/collection/object/H_WG-1683	new_generation
