art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	intake_source
ring_bone_plain	ring	1	Plain Bone Ring	S	1	1	one compact finger ring carved as a continuous thick bone hoop, softly irregular hand-polished section with no portrait, inscription, setting, metal, or ornament	Late Hellenistic to early Roman bone finger-ring tradition	https://www.britishmuseum.org/collection/object/G_1917-0501-1619	new_gap_deduped_balanced_v1
ring_bone_shouldered	ring	1	Shouldered Bone Ring	S	1	1	one compact bone finger ring with a thick shouldered hoop and a shallow empty recessed bezel, plain hand-polished surfaces with no stone, metal, face, or script	Late Hellenistic to early Roman bone finger-ring tradition	https://www.britishmuseum.org/collection/object/G_1917-0501-1619	new_gap_deduped_balanced_v1
ring_stone_integral	ring	1	Integral Stone Ring	S	1	1	one compact finger ring carved from a single piece of pale stone with broad shoulders and a low blank bezel, no inscription, metal fitting, gemstone, or celestial motif	Egyptian Eighteenth Dynasty integral stone finger-ring	https://www.britishmuseum.org/collection/object/Y_EA54799	new_gap_deduped_balanced_v1
ring_copper_open	ring	2	Copper Open Ring	S	1	1	one compact hammered copper finger band with two blunt opposing terminals and a narrow open gap, plain material-led form without coils or symbols	Iron Age V-shaped open finger-ring, 400-200 BC	https://www.britishmuseum.org/collection/object/H_2018-8003-1	new_gap_deduped_balanced_v1
ring_copper_bezel	ring	2	Copper Bezel Ring	S	1	1	one compact copper finger ring with a low oval integral bezel left blank except for shallow tool marks, no readable seal, no sun-like face	New Kingdom bronze signet ring with oval bezel	https://www.metmuseum.org/en/art/collection/search/550835	new_gap_deduped_balanced_v1
ring_copper_ridge	ring	2	Ridged Copper Band	S	1	1	one broad compact copper finger band with one raised longitudinal ridge and plain rolled edges, actively maintained surface, no coil or gemstone	Archaic Greek bronze finger-ring	https://www.britishmuseum.org/collection/object/G_1887-0730-23	new_gap_deduped_balanced_v1
ring_bronze_signet	ring	3	Blank-Bezel Ring	S	1	1	one substantial bronze finger ring with an oval seal bezel left blank except for shallow hammer texture, compact band, no readable script and no solar emblem	New Kingdom bronze signet ring, Amarna period	https://www.metmuseum.org/en/art/collection/search/550835	new_gap_deduped_balanced_v1
ring_bronze_glass	ring	3	Blue-Glass Ring	S	1	1	one compact copper-alloy finger ring holding a single dark blue glass inset in a thick protected bezel, most metal plain, no halo or rays	Iron Age copper-alloy finger-ring with blue glass bezel, Hod Hill	https://www.britishmuseum.org/collection/object/H_1892-0901-635	new_gap_deduped_balanced_v1
ring_bronze_v	ring	3	Bent-V Ring	S	1	1	one heavy bronze wire finger ring bent into a restrained V-shaped crown, smooth circular section with visible hammer shaping, no setting or dangling part	Iron Age V-shaped finger-ring, 400-200 BC	https://www.britishmuseum.org/collection/object/H_2018-8003-1	intake_178_adapt_material_and_remove_chevrons
ring_gold_massive_signet	ring	4	Massive Gold Signet	S	1	1	one massive ancient gold finger ring with a thick lozenge-shaped bezel hollowed underneath for wear, blank seal face and no readable inscription or celestial symbol	Egyptian massive gold signet-ring with separate shank and lozenge bezel, ca. 575 BC	https://www.britishmuseum.org/collection/object/Y_EA68868	new_gap_deduped_balanced_v1
ring_amber_socket	ring	4	Amber Socket Ring	S	1	1	one substantial bronze finger band with a single bounded honey-amber cabochon sunk low into a protective oval socket, no radial decoration	Iron Age copper-alloy finger-ring with glass in bezel	https://www.britishmuseum.org/collection/object/H_1892-0901-635	new_gap_deduped_balanced_v1
ring_obsidian_seal	ring	4	Nightglass Seal	S	1	1	one compact dark bronze finger ring with a broad rectangular obsidian seal face held in a simple deep bezel, blank polished face, no inscription or celestial motif	Egyptian massive signet-ring with separate shank and bezel	https://www.britishmuseum.org/collection/object/Y_EA68868	new_gap_deduped_balanced_v1
ring_skymetal_plain	ring	5	Skymetal Band	S	1	1	one severe compact finger band forged from raw dark meteoric iron, thick uneven facets and one narrow raised rim, no glow, gem, engraving, or dangling part	Iron Age plain band-shaped finger-ring	https://www.britishmuseum.org/collection/object/H_ML-1340	new_gap_deduped_balanced_v1
ring_skymetal_signet	ring	5	Meteoric Signet	S	1	1	one massive raw dark meteoric-iron finger ring with a blank lozenge bezel cut away underneath for wear, severe active-service finish, no text or emblem	Egyptian massive signet-ring with hollowed underside, ca. 575 BC	https://www.britishmuseum.org/collection/object/Y_EA68868	new_gap_deduped_balanced_v1
ring_skymetal_socket	ring	5	Riven Socket Ring	S	1	1	one compact raw dark meteoric-iron finger ring with a low protected socket holding a single irregular smoky stone, plain broad shank, no rays or magical glow	Iron Age finger-ring with bounded glass bezel	https://www.britishmuseum.org/collection/object/H_1892-0901-635	new_gap_deduped_balanced_v1
amulet_calcite_drop	amulet	1	Calcite Drop Amulet	S	1	1	one narrow calcite pendant tapering to a pointed base, pierced horizontally at the top on a full wearable twisted-fiber neck loop, no collar, gorget, charm cluster, or symbol	First Dynasty calcite vase-shaped pierced amulet	https://www.britishmuseum.org/collection/object/Y_EA32123	new_gap_deduped_balanced_v1
amulet_tusk_tip	amulet	1	Tusk-Tip Pendant	S	1	1	one small cleaned boar-tusk tip in a minimal hide suspension sleeve on a full cord neck loop, natural curve dominant, no metal medallion or solar fitting	Neolithic/Bronze Age drilled boar-tusk pendant	https://www.britishmuseum.org/collection/object/H_1879-1209-1225	intake_183_adapt_remove_solar_medallion
amulet_shell_oval	amulet	1	Oval Shell Pendant	S	1	1	one small naturally oval shell pendant with a single worn suspension perforation on a full bast-fiber cord loop, shell edge and growth texture left dominant with no metal mount, fringe, or extra charms	Predynastic Egyptian shell pendant or bead, ca. 3850-2960 BC	https://www.metmuseum.org/art/collection/search/571030	new_gap_deduped_balanced_v1
amulet_copper_sheet	amulet	2	Copper Sheet Amulet	S	1	1	one small flat hammered copper pendant with a rectangular body, one top suspension perforation, and a bounded jagged lower edge on a full leather neck loop, no readable script	Sabaean pierced sheet-silver amulet pendant, 4th-3rd century BC	https://www.britishmuseum.org/collection/object/W_1915-0109-3	new_gap_deduped_balanced_v1
amulet_copper_bulla	amulet	2	Copper Bulla	S	1	1	one hollow D-shaped beaten-copper bulla pendant with a rolled suspension tube on a full cord neck loop, restrained straight-line edge marks only	Late Bronze Age beaten-sheet bulla, 1150-750 BC	https://www.britishmuseum.org/collection/object/H_1874-0303-8	new_gap_deduped_balanced_v1
