filename	verdict	slot_guess	tier_guess	stat_axis	faction_guess	confidence	background	desc	reason	sha256
01817d6c-cbed-4ce6-aad5-2fdf9ab7e6c5.png	promote	impact	T1	DEX	Stonewood	high	slate	serrated wooden paddle club with wrist cord	matches Stonewood patu signature, single coherent item, clean silhouette	e76507e4ebd114ec077137c41e9d36c40682e0af6a96efe23ed6783210bdfb75
152dca1a-b17e-46c3-b11a-611e28fb28b5.png	promote	gloves_hands	T2	STR	North	med	slate	pair of hand-stitched hide mittens with fur trim	proper pair, hand whipstitch, pre-ancient construction	1e39546bcae1c423f523f1b6fe1f0dde17b528455ed3a2d1f9d1e8e2623765c9
37f5cc23-7b70-4d89-8c3a-18c76b6aff62.png	review	helmet	T4	STR	unclear	med	slate	hammered bronze crested helmet, tooth-laced cheek guards	Gate 3 review: very ornate, mixed bronze+teeth+feather faction cues, possible unique	8d80b353dcd0b3f1ae0ccca29aed2f4b3a4e5ee32aa0c3e643bd69970c6bdcec
6e3de3da-df7b-495a-9728-c0ab0cd9020e.png	promote	sword	T1	DEX	Stonewood	high	slate	wooden blade edged with lashed shark teeth	macuahuitl-like Stonewood signature, coherent tooth-on-wood lashing	4bce26cd9c997ad96b7510616df8e542bb998b88e80e99c43e874459d620a111
7e6a9c77-64fb-4736-ad90-4652ae7f03cb.png	promote	outer_layer	T2	DEX	Dustwind	med	slate	knotted woven scarf, geometric borders, fringed ends	Dustwind scarf language, geometric not solar motifs, coherent weave	07d737f178e2ce78ac18432fce1316e755a1a21afb3254e2a7630d721b51be65
ChatGPT Image Aug 13, 2026, 06_54_47 PM.png	review	body_armor	T2	STR+DEX	Dustwind	low	slate	quilted pale coat with red trim and knot toggles	Gate 2 review: fitted gambeson silhouette and even quilting read medieval	7b91ff4d9bc9ae8485207c618670fce4e84e209f209c166ceb6b0fa8c7cda89b
ChatGPT Image Aug 13, 2026, 06_55_07 PM.png	promote	helmet	T2	DEX	Dustwind	high	slate	laced hide-plate helmet with lamellar cheek guard	steppe lamellar language, both sides implied, coherent lacing	4606de3eddb207fe63fd1e92470a47dd06343160e390a909fbd9e061e3b82974
ChatGPT Image Aug 13, 2026, 06_55_18 PM.png	promote	body_armor	T3	STR+DEX	Dustwind	high	slate	bronze lamellar vest with chest plaque and belt	Dustwind lamellar signature, coherent lacing and leather trim	3948a149dacdd991ba5336fb9f819cf11efbc45ee01f3e7f3bafef1ecd21039b
ChatGPT Image Aug 13, 2026, 06_55_30 PM.png	promote	body_armor	T2	DEX	North	high	slate	green woven tunic with crimson patterned border bands	North hemmed wool with woven borders, geometric not solar motifs	e5128db698d7414d53218de0562b7aaac981c49a364bd1dfaf73e2283a0bc21b
ChatGPT Image Aug 13, 2026, 06_55_41 PM.png	promote	shield	T2	STR	Stonewood	low	slate	tall rectangular hide-faced shield with painted diagonal stripes	front face only, coherent hide-on-wood stitching, faction read weak	28b177bec56f274f55a9868fd465727e46d2eaf601f58a8e99b59decfab4637d
ChatGPT Image Aug 13, 2026, 06_55_56 PM.png	promote	dagger	T2	DEX	unclear	med	slate	copper leaf-blade dagger, leather-wrapped grip, wood pommel	valid Bronze Age dirk form, coherent materials, generic faction read	087cf0a04388778a7cef65d0e427f57f509dc6cd5b0cde11c78391c1c0242cf4
ChatGPT Image Aug 13, 2026, 06_56_08 PM.png	promote	quiver	T2	DEX	Dustwind	med	slate	empty leather quiver with strap and red woven bands	no arrows shown per Gate 3, steppe archery language	76626ced3a0de15a4f5e908bdbf1348a0d9dadd92d5a4a971bd5632ed3c87c11
ChatGPT Image Aug 13, 2026, 06_56_15 PM.png	review	belt	T3	STR	unclear	low	slate	brown leather belt with bronze frame buckle and keeper	Gate 2 review: very uniform double stitching reads modern manufacture	80a48c2eaded25c4fe15b02621a751db531f47e842232edaeda7ce0f30118f5c
ChatGPT Image Aug 13, 2026, 06_56_26 PM.png	promote	helmet	T2	DEX	North	med	slate	leather hood with shoulder mantle and toggle tie	single clean garment, readable silhouette, period-safe construction	5553d57c089205ebfc0152c3ab355959d2ee9040b86f11ddf32d87a6c659d5e5
ChatGPT Image Aug 13, 2026, 06_56_32 PM.png	promote	boots_footwear	T2	DEX	Stonewood	low	slate	pair of laced hide moccasin ankle boots	clean pair, hand-stitched pre-ancient construction, no modern seams	ca5dc320a3dddf885329b78daa96fd77854b66e23f0f8334c98078c2fa7aa90a
ChatGPT Image Aug 13, 2026, 07_10_34 PM.png	promote	body_armor	T3	STR+DEX	Dustwind	med	slate	laced lamellar vest, bronzed plates, leather trim	valid ancient laced lamellar, single item, clean silhouette	40dbb64c2ca5cd590ccdbff6c231063823f6a38166de9ea3a3ee6c296aaf24f5
ChatGPT Image Aug 13, 2026, 07_10_51 PM.png	reject	outer_layer	T3	DEX+INT	Dustwind	low	slate	embroidered blue robe with scarf, belts, pouch	Gate 1: full worn outfit of multiple items, not one item	484a580c2726da0e8724ba7c34d059c0765bf8cb68a660e66595f6078c970c98
ChatGPT Image Aug 13, 2026, 07_10_59 PM.png	review	belt	T3	DEX	Dustwind	med	slate	wrapped fabric sash belt, bronze ring, hanging braids	tassel-heavy vertical hangings on waist item; belt rule review	f82c9e8958c77236551ff2076a32624c0e91bcbd28071275bb52f59a6cd7910b
ChatGPT Image Aug 13, 2026, 07_11_08 PM.png	review	quiver	T4	DEX	Dustwind	med	slate	decorated leather quiver with strap, no arrows	curling scroll band risks spiral-motif read; otherwise clean empty quiver	5ba9fa7fe9002ab0f2e2bf4ee229434661bc5794465cdc0de7c8ba7ab48d4af6
ChatGPT Image Aug 13, 2026, 07_11_21 PM.png	reject	shield	T3	STR	North	med	slate	round wooden shield, red hide face, bronze boss	Gate 3: central radial petal rosette around boss, hard fail	447df29d7a1f003a466c4df21f53aa092a8ae3984435ce215136a618f86581a0
ChatGPT Image Aug 13, 2026, 07_11_28 PM.png	promote	dagger	T3	DEX	unclear	med	slate	bronze dagger, leather and cord wrapped hilt	clean single weapon, bronze-age valid form and materials	d1f7bf0ab672f961214409899106cabb962d03fb19b609cc4952067e62ded361
ChatGPT Image Aug 13, 2026, 07_11_37 PM.png	promote	container_pack	T3	DEX	Dustwind	med	slate	leather belt pouch, straps, beads, blue cloth	single clean container, coherent materials, period-safe fittings	f462c9bdc18ed8c5ccea6645ca1a447744ad3dc2ade6f28ecdb7bf9263a5da1e
ChatGPT Image Aug 13, 2026, 07_11_44 PM.png	review	impact	T3	STR+DEX	Dustwind	low	slate	braided cord flail with bronze teardrop weight	slot identity uncertain; cord-and-weight flail anachronism risk	1079c472ab70d8a734955469c53eda15f1aabdb6ca6ece5c7912c9932387a866
ChatGPT Image Aug 13, 2026, 07_15_26 PM.png	review	helmet	T5	STR	Dustwind	med	slate	laced dark iron plate helmet, cheek guards	ornate arabesque plaque and form press AD600 ceiling	b5eb32ebdbf6e020667dfb1fd4bcfd628ea2910cd7847288db2869e974075f70
ChatGPT Image Aug 13, 2026, 07_15_35 PM.png	review	body_armor	T5	STR	Dustwind	med	slate	dark iron lamellar cuirass with shoulder guards	samurai-like ornate read close to ceiling; over-finished for base	a6608a86514a7150849067fc4ef961cc65e247b871b04036367c9476dd473486
ChatGPT Image Aug 13, 2026, 07_15_46 PM.png	review	outer_layer	T2	DEX	Dustwind	med	slate	embroidered desert head scarf with tassels	Gate 2: worn drape holds shape on invisible head	4ed0d071a2ca9c8d5c52427f81aabb453cd09f4ea12ed65250b12d2efcb1df69
ChatGPT Image Aug 13, 2026, 07_15_57 PM.png	reject	outer_layer	T4	DEX+INT	Dustwind	high	slate	full hooded robe outfit with quiver, sashes	Gate 1: full outfit, multiple items, arrows in attached quiver	8adeb8c3083c03733186763a576c7e3e4c7d99e5c1e0ae88c25a3061b724d738
ChatGPT Image Aug 13, 2026, 07_16_02 PM.png	review	belt	T4	DEX	Dustwind	med	slate	layered sash belt with bronze charms, tassels	charm and tassel heavy clutter; belt rule review	04c2977b33be105468314961405391498790fbeed0f5bf40ec97a0f29421b5e0
ChatGPT Image Aug 13, 2026, 07_16_15 PM.png	promote	quiver	T3	DEX	Dustwind	high	slate	tooled leather quiver with blue scarf wrap	empty quiver, no arrows/bow; steppe scarf language coherent	ffda14e8664ccab851c504917fb48c9754e1c1e734bf05ede1bf42fbab59026d
ChatGPT Image Aug 13, 2026, 07_16_23 PM.png	reject	shield	T3	STR	North	med	slate	round red leather shield, brass boss	Gate 3: dominant radial spoke/rosette layout across face	ed49e563848f39ebafaa1097eaba15896daf3af23fe9c3e4bfc7cf008402b2f0
ChatGPT Image Aug 13, 2026, 07_16_42 PM.png	reject	impact	T3	STR	unclear	med	slate	bronze ball flail on braided leather cord	Gate 2: ball-and-chain flail is medieval silhouette, no pre-ancient precedent	9c391a44d43f49fa796ac18637aaa303f11d932fabb84f8621ceacf73fe71902
ChatGPT Image Aug 13, 2026, 07_30_16 PM.png	review	body_armor	T2	DEX	unclear	low	slate	quilted sleeveless laced fabric vest	Gate 2: medieval gambeson read, eyelet cross-lacing; blue trim off North palette	6f81607957e8f2e12b935a82d96603b09fb54f7489bbb767df79a269fceab3db
ChatGPT Image Aug 13, 2026, 07_30_30 PM.png	promote	helmet	T5	STR	unclear	med	slate	dark iron domed helmet, cheek and neck guards	coherent pre-ancient build, both cheek guards, raw dark iron reads T5	23f15d35abc4bee514b097ba631ca279d988f6c6eec973b432673afe6aeb045a
ChatGPT Image Aug 13, 2026, 07_30_37 PM.png	review	helmet	T2	DEX	Dustwind	med	slate	desert head wrap with face veil	Gate 2: anatomy-dependent wrap holds invisible-head shape	5e53723b42f9291eeac28c89b2a77add827fffa98b546b2aaf3a76f176ffac56
