art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	action	source_kind	source_path	source_sha256	source_verdict	overlap_key	qa_status	ladder_id	rung	runtime_kind	mechanical_identity
hands_hide_pouch_mitts	gloves	1	Hide Pouch Mitts	S	2	2	A pair of empty one-piece deerskin mitts with enclosed palms, separate thumb volumes, inward fur at short cuffs, and broad doubled palm patches; crude sinew seams and no rigid pieces.	Copper Age hide garments and sinew sewing support a soft enclosed mitten family.	https://www.iceman.it/en/oetzi/clothing	generate_new	none	none	none	not_audited	none	unreviewed	enclosed_mitts	1	gloves	soft fur lined palm pouch
hands_quilted_linen_mitts	gloves	2	Quilted Linen Mitts	S	2	2	A pair of empty enclosed linen mitts with oval quilted hand bodies, separate thumb volumes, dense corded seams, doubled woven palms, and short padded cuffs; one continuous textile construction with no rigid pieces.	Ancient quilted textile defense and the complete Vindolanda boxing-guard silhouette support a materially continuous padded mitten.	https://www.vindolanda.com/Blogs/blog/vindolandas-top-10-finds-of-the-decade	reference_only_generate	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 2\03__hands_arms.png	a8300df92fe3af1bba2c7f4ba4a4b572a23c929648808a92a293f00f04b803f6	reject	balanced_faction_dustwind_dex_t2_hands	unreviewed	enclosed_mitts	2	gloves	oval quilted textile hand body
hands_corded_palm_mitts	gloves	3	Corded-Palm Mitts	S	2	2	A pair of empty enclosed thick-hide mitts with elongated palm bodies, separate thumb volumes, raised parallel rawhide cords buried within the outer hand layer, doubled palms, and deep rolled cuffs; no rigid pieces.	The complete Vindolanda leather boxing guards directly anchor an enclosed materially continuous leather hand body.	https://www.vindolanda.com/Blogs/blog/vindolandas-top-10-finds-of-the-decade	reference_only_generate	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 2\03__hands_arms.png	e0c825d48880eb1dd36cbbb1bf62ad8a5683708f01635ba078fa91ca971311e8	reject	balanced_faction_dustwind_str_t2_hands	unreviewed	enclosed_mitts	3	gloves	elongated palm with buried cord welts
hands_lacquered_hide_mitts	gloves	4	Lacquered Hide Mitts	S	2	2	A pair of empty enclosed black-red hardened-hide mitts shaped as continuous faceted hand pouches with separate thumb volumes, thick turned edges, doubled palms, and short soft cuffs; no applied plates.	Pre-AD Scythian and Subeixi hard-leather armor directly anchors shaped lacquered hide as a coherent organic shell.	https://www.metmuseum.org/art/collection/search/26565	reference_only_generate	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 2\03__hands_arms.png	7ec896139293e28163e56566b31a230b3b559b86710cbe0578e1d7c74a79243b	reject	balanced_faction_north_dex_t2_hands	unreviewed	enclosed_mitts	4	gloves	continuous faceted hardened hide pouch
hands_black_hide_mitts	gloves	5	Black-Hide Hero Mitts	S	2	2	A pair of empty enclosed dense black rawhide mitts with broad rounded hand bodies, separate thumb volumes, deeply molded outer ridges formed in the hide itself, doubled palms, and tall rolled cuffs; no metal or applied hard pieces.	The complete Vindolanda leather boxing guards directly anchor a high-mass materially continuous leather hand defense.	https://www.vindolanda.com/Blogs/blog/vindolandas-top-10-finds-of-the-decade	reference_only_generate	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 2\03__hands_arms.png	7a314f139eb8ff9e174aba4ce9ff11bd54d91f4aae1d61c8db2f938d3ee5b05e	reject	balanced_faction_north_int_t2_hands	unreviewed	enclosed_mitts	5	gloves	deep molded ridges in continuous black hide
hands_stuffed_boxing_guards	gloves	1	Stuffed Boxing Guards	S	2	2	A pair of empty rounded rawhide boxing guards enclosing palm, thumb base, and knuckles as continuous stuffed hand cages, with thick impact rolls and no hard inserts.	Roman leather boxing guards from Vindolanda establish a complete enclosed striking hand family.	https://www.vindolanda.com/Blogs/blog/vindolandas-top-10-finds-of-the-decade	generate_new	none	none	none	not_audited	none	unreviewed	enclosed_hand_cages	1	gloves	rounded stuffed impact roll
hands_copper_shell_cesti	gloves	2	Copper Shell Cesti	S	2	2	A pair of empty contiguous hammered copper mitten cages, each enclosing the back, knuckle arc, outer palm, and thumb root as one self-supporting shell with a thin hide lining visible only at the openings; no separate plates or finger joints.	The complete Vindolanda boxing guards anchor the enclosed striking form, while ancient hammered copper limb defense anchors the self-supporting sheet shell.	https://www.vindolanda.com/Blogs/blog/vindolandas-top-10-finds-of-the-decade	reference_only_generate	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 2\03__hands_arms.png	52179bf490ab0b5d6af8a9c07087218f956bfe5eeebd8a792a8b945ce5d215cc	reject	balanced_faction_dustwind_int_t2_hands	unreviewed	enclosed_hand_cages	2	gloves	short contiguous copper mitten cage
hands_bronze_fluted_cesti	gloves	3	Bronze Fluted Cesti	S	2	2	A pair of empty deep bronze hand cages shaped as continuous blunt mitten shells with separate thumb-root hoods, integral raised flutes across each striking face, and subordinate leather lining visible only at the rims; no applied bars or plates.	Ancient hammered bronze limb shells support integral raised shaping in one continuous metal body, combined with the Vindolanda striking-hand silhouette.	https://www.metmuseum.org/art/collection/search/247494	generate_new	none	none	none	not_audited	none	unreviewed	enclosed_hand_cages	3	gloves	deep bronze shell with integral flutes
hands_lacquered_rawhide_cesti	gloves	4	Lacquered Rawhide Cesti	S	2	2	A pair of empty black-red hardened-rawhide hand cages shaped as continuous angular fist shells with enclosed palms, blunt knuckle masses, separate thumb-root hoods, and thin felt lining visible only at the rims.	Pre-AD hard-leather armor directly anchors a coherent self-supporting organic shell rather than applied hard pieces.	https://www.metmuseum.org/art/collection/search/26565	generate_new	none	none	none	not_audited	none	unreviewed	enclosed_hand_cages	4	gloves	angular continuous rawhide fist shell
hands_meteor_fist_shells	gloves	5	Meteor Fist Shells	S	2	2	A pair of severe contiguous raw dark meteoric-iron hand cages shaped as broad squared mitten shells around back, knuckle arc, outer palm, and thumb root, with subordinate black-hide lining visible only at the openings; no separate bars, scales, or finger plates.	Ancient hammered sheet limb armor provides the continuous shell logic, combined with the complete enclosed Vindolanda striking-hand form.	https://www.metmuseum.org/art/collection/search/247494	generate_new	none	none	none	not_audited	none	unreviewed	enclosed_hand_cages	5	gloves	squared contiguous meteoric fist shell
