art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	intake_source
body_corselet_bast	body_corselet	1	Bast-Rib Corselet	P	2	3	A complete empty hip-short corselet made entirely from thick bundled bast ribs over a dense woven-fiber body, with broad organic shoulder bands and a plain waist edge; one continuous material family, active-service fibers, no belt, lower garment, anatomy, metal, symbols, or modern stitching.	A0/L woven-fiber torso defense; taxonomy B-01	https://www.metmuseum.org/art/collection/search/26565	new_generation
body_corselet_copper_disc	body_corselet	2	Copper-Disc Corselet	P	2	3	A complete empty hip-short layered-linen corselet reinforced by four hand-varied hammered copper discs, each disc peened through a broad doubled textile load patch so no plate appears pasted on; active-service copper and linen, no belt, lower garment, anatomy, radial motifs, or dangling hardware.	A1-A2 copper disc reinforcement on organic torso support; taxonomy B-09	https://www.metmuseum.org/de/essays/warfare-in-ancient-greece	new_generation
body_corselet_bronze_scale	body_corselet	3	Bronze Scale Corselet	P	2	3	A complete empty hip-short martial corselet of small rounded bronze scales overlapping downward on one continuous dark leather backing, with compact integrated upper-arm courses and a straight waist edge; active-service bronze, no belt, lower garment, anatomy, shoulder towers, symbols, or mail.	A2-A4 bronze scale vest; taxonomy B-11 and Met armor scales	https://www.metmuseum.org/art/collection/search/326389	new_generation
body_corselet_riverhide	body_corselet	4	River-Hide Corselet	P	2	3	A complete empty Roman-Egyptian crocodile-hide corselet following the surviving armor's actual broad hide cut and sewn seam map, ending cleanly at the hips; natural scales remain part of the hide rather than decorative tiles, active-service finish, no belt, lower garment, animal head, anatomy, jewels, or metal regalia.	Roman Egypt, 3rd-4th century crocodile-skin cuirass, BM EA5473	https://www.britishmuseum.org/collection/object/Y_EA5473	new_generation
body_corselet_skymetal_scale	body_corselet	5	Skymetal Scale Corselet	P	2	3	A complete empty hip-short endgame corselet of raw dark meteoric-iron scales overlapping on a full blackened-hide backing, with a severe high chest and short continuous shoulder courses; metal is healthy and actively maintained with bright worn edges, no belt, lower garment, anatomy, glow, gilding, symbols, or mail.	T5 material translation of ancient scale-corselet load paths	https://www.metmuseum.org/art/collection/search/326389	new_generation
body_cuirass_rawhide	body_cuirass	1	Rawhide Cuirass	P	2	3	A complete empty front-and-back cuirass made from two broad hardened rawhide shells with low arm openings, squared shoulders, and a blunt hip edge; one dominant organic family with restrained edge binding, active-service russet hide, no belt, lower garment, anatomy, metal plates, embossing, or modern corset seams.	A0-A4 hardened hide cuirass; taxonomy B-03	https://www.britishmuseum.org/collection/object/Y_EA5473	new_generation
body_cuirass_copper_pectoral	body_cuirass	2	Copper Pectoral Cuirass	P	2	3	A complete empty rawhide torso support carrying one broad hammered copper breast disc and a smaller corresponding back disc, each seated against a full doubled hide field rather than loose straps; active-service early metal, no belt, lower garment, anatomy, sun pattern, dangling fittings, or fantasy shoulders.	A1-A2 disc pectoral defense; taxonomy B-09	https://www.metmuseum.org/de/essays/warfare-in-ancient-greece	new_generation
body_cuirass_bronze_bell	body_cuirass	3	Bronze Bell Cuirass	P	2	3	A complete empty mature Bronze Age bell cuirass with distinct front and back sheet-bronze shells, a deep waist, convex upper chest, and one flared hip rim; plain active-service bronze with restrained edge work, no belt, lower garment, anatomy, engraved scenes, gems, or medieval breastplate shaping.	A2-A3 bronze bell cuirass; taxonomy B-06	https://www.metmuseum.org/collection/the-collection-online/search/256134	new_generation
body_cuirass_heroic	body_cuirass	4	Heroic Bronze Cuirass	P	2	3	A complete empty fourth-century-BCE prestige muscle cuirass with separate modeled front and back bronze shells, compact shoulders, and a short plain hip flange; the ritual-value read comes from exceptional sculptural hammerwork, not jewels or added plates; active-service finish, no belt, lower garment, anatomy inside, scenes, or celestial motifs.	Greek Apulian bronze cuirass, 4th century BCE, Met 1992.180.3a,b	https://www.metmuseum.org/collection/the-collection-online/search/256134	new_generation
body_cuirass_skymetal_sheet	body_cuirass	5	Skymetal Sheet Cuirass	P	2	3	A complete empty severe front-and-back cuirass hammered from raw dark meteoric iron, with angular shoulder bridges, a nearly cylindrical rib cage, and a stepped hip edge based on ancient sheet-corslet geometry; active-service bright edge wear only, no belt, lower garment, anatomy, glow, gilding, symbols, or medieval plate harness.	T5 material translation of A2-A4 sheet-metal corslet; taxonomy B-08	https://www.britishmuseum.org/collection/object/G_1873-0820-223	new_generation
