portfolio	art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	action	source_kind	source_path	source_sha256	source_verdict	overlap_key	qa_status	ladder_id	rung	runtime_kind	mechanical_identity
weapons	wpn_bow_holmegaard_flat	bow	1	Holmegaard Flatbow	P	2	4	a tall one-piece elm bow with broad parallel inner limbs, a deep narrow stiff grip, and clean tapering outer limbs, shown strung without arrows	Mesolithic elm bow from Holmegaard Mose dated about 7000 BC, National Museum of Denmark	https://en.natmus.dk/historical-knowledge/denmark/prehistoric-period-until-1050-ad/the-mesolithic-period/the-stone-age-hunters-bow-and-arrow/the-worlds-oldest-bows/	generate_new	none	none	none	not_audited	none	unreviewed	weapon_bow	1	bow	broad parallel flat limbs
weapons	wpn_rod_paddle_head	caster_rod	3	Paddle-Head Rod	P	1	3	a thick short hardwood casting rod with a broad plain rectangular paddle at its upper end, a narrowed neck, and a blunt rounded grip butt	Middle Kingdom wood model sekhem or aba sceptre, 70 cm long, Metropolitan Museum 11.150.20b; geometry only, with sacred identity and imagery omitted	https://www.metmuseum.org/art/collection/search/546281	generate_new	none	none	none	not_audited	none	unreviewed	weapon_caster_rod	3	caster_rod	broad paddle terminal on thick wood rod
offhands	focus_antler_prong	rite_focus	1	Antler Prong	P	1	3	a substantial double-ended rite implement carved from one dense antler beam, with short opposed prongs, a thick central grip, and no face or sacred symbol	Neolithic to Bronze Age perforated antler macehead construction	https://www.britishmuseum.org/collection/object/H_St-D-86	generate_new	none	none	none	not_audited	none	unreviewed	offhand_rite_resonance	1	ritefocus	one-piece antler prong
offhands	shield_shell_pelta	shield	4	Shell-Plate Pelta	P	2	3	a crescent wood shield with a few broad mother-of-pearl plates drilled near their edges and sparsely peened over continuous rawhide backing, front face only	Ancient Hellenistic pelta silhouette with explicit drilled rigid-plate attachment over an organic shield	https://resources.metmuseum.org/resources/metpublications/pdf/Art_of_the_Hellenistic_Kingdoms_From_Pergamon_to_Rome.pdf	generate_new	none	none	none	not_audited	none	unreviewed	offhand_roundwall	4	shield	segmented shell crescent
armor_helms	body_corselet_bast	body_corselet	1	Bast-Rib Corselet	P	2	3	Empty hip-short corselet of bundled bast ribs over dense woven fiber; broad organic shoulder bands, straight waist, active-service wear, no belt, skirt, anatomy, metal, symbols, or modern stitching.	A0/L woven-fiber torso defense; taxonomy B-01	https://www.metmuseum.org/art/collection/search/26565	generate_new	none	none	none	not_audited	none	unreviewed	body_corselet	1	body	bundled bast ribs on woven body
armor_helms	outer_full_sagum	outer_full	3	Soldier Sagum	P	2	3	Complete empty heavy-wool sagum hanging as one broad knee-length rectangle with an asymmetric shoulder fold and plain woven border; no body, armor, hood, scales, shingles, tabs, tassels, or modern tailoring.	Ancient military rectangular cloak construction	https://www.metmuseum.org/de/essays/warfare-in-ancient-greece	generate_new	none	none	none	not_audited	none	unreviewed	outer_full	3	cloak	heavy rectangular wool sagum
wearables	hands_hide_pouch_mitts	gloves	1	Hide Pouch Mitts	S	2	2	A pair of empty one-piece deerskin mitts with enclosed palms, separate thumb volumes, inward fur at short cuffs, and broad doubled palm patches; crude sinew seams and no rigid pieces.	Copper Age hide garments and sinew sewing support a soft enclosed mitten family.	https://www.iceman.it/en/oetzi/clothing	generate_new	none	none	none	not_audited	none	unreviewed	enclosed_mitts	1	gloves	soft fur lined palm pouch
wearables	feet_meteor_cuff_footbags	boots	5	Meteor-Cuff Footbags	S	2	2	A pair of empty one-piece deerskin footbags with grass-filled bast inner nets, thin flat leather soles, fully flexible toes and insteps, and one short padded ankle cuff carrying a single narrow raw dark meteoric-iron band; all metal remains above the foot flex zone.	Oetzi's Copper Age multilayer footwear directly anchors the complete deerskin, bast-net, grass-filled, flat-soled footbag; the T5 metal is confined to a bounded ankle cuff.	https://www.iceman.it/en/oetzi/clothing	reference_only_generate	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 3\02__legs_footwear.png	378e716a50ebfc713a6235f88841d8c2fd4d347dbc51166d372df238a5783d99	reject	balanced_faction_dustwind_dex_t3_legs	unreviewed	soft_shoes	5	boots	flexible grass net footbag with bounded ankle band
jewelry_relics	ring_bone_plain	ring	1	Plain Bone Ring	S	1	1	one compact finger ring carved as a continuous thick bone hoop, softly irregular hand-polished section with no portrait, inscription, setting, metal, or ornament	Late Hellenistic to early Roman bone finger-ring tradition	https://www.britishmuseum.org/collection/object/G_1917-0501-1619	generate_new	none	none	none	not_audited	none	unreviewed	ring_hoop_progression	1	ring	closed carved bone hoop
jewelry_relics	relic_skymetal_longspout	relic	5	Meteoric Long-Spout Vessel	S	2	2	one substantial deep meteoric-iron pouring vessel with a globular body, cylindrical neck, broad basket handle fixed by two large rivets, and a long rising S-curved spout fixed by a visible row of peened rivets, plain active-service surfaces with no figure plaque, script, chain, or glow	Iranian Iron Age II-III bronze long-spouted vessel, ca. 9th-8th century BC	https://www.metmuseum.org/art/collection/search/324020	generate_new	none	none	none	not_audited	none	unreviewed	relic_rite_progression	5	relic	deep basket-handled long-spout vessel
