source_kind	source_path	source_sha256	source_class	decision	assigned_art_id	reason
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 10, 2026, 11_03_56 PM (1).png	74be9f0e8b5b373bb1506867e14c557d2addddef13bd33fbce9cbe6fba6fc270	impact	needs_user	wpn_club_rootknob	Readable long impact silhouette, but the visible metal studs lack a direct ancient wood-club anchor; retain only as a user-approved alternative.
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 10, 2026, 11_24_03 PM (1).png	09e6dd4afc89a283ae45c54b7802e9f5bd66a120a6b2f6bb1a279e3c5c92fed3	spear	assign_to_row	wpn_spear_flint_lash	Promoted broad knapped head and complete shaft match the flint lash spear thesis.
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 10, 2026, 11_25_02 PM (2).png	f4ac3aa4674dca5bc9eee53fbf6564d452597590c6ed643598d755badcf52517	impact	needs_user	wpn_club_rootknob	Second readable studded wood club is an alternate, not a separate ladder rung; historical join evidence still needs user acceptance.
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 10, 2026, 11_25_30 PM (1).png	b2d52bef2d14eecc895df024873de8b45bd1cacb21206cdb4d47c2b7b6667dbe	spear	assign_to_row	wpn_spear_copper_needle	Narrow complete spear provides the distinct needle-head silhouette for the T2 row.
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 10, 2026, 11_39_34 PM (1).png	6876021dcd02f8997b9cdf1333cc25bc06980c998645559d1a20036197aefff8	spear	assign_to_row	wpn_spear_broad_midrib	Broad socketed head and complete shaft fit the T3 midrib spear after historical-detail review.
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 13, 2026, 11_51_10 PM (1).png	e56e8039a158a5e055432843d5315c87743736488049b130b5c6e8238cd363e0	spear	assign_to_row	wpn_spear_achaemenid_barbed	Complete forged-looking head and clean shaft are the closest promoted match to the T4 barbed spear.
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 14, 2026, 01_03_23 AM (1).png	d52d28ca6f0fb355fedb5b3eca67f8f5bcc9df6fa67b0b3f10bf071a09e844ba	spear	needs_user	wpn_spear_achaemenid_barbed	Good complete spear but tassel-like binding and head mismatch make it an alternate requiring user choice.
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 14, 2026, 12_15_03 AM (1).png	ed8d6eff4714a071319567880ae1a16e3745a6a30d145ed2ea04af1d68eaf091	spear	needs_user	wpn_spear_achaemenid_barbed	Clean shaft-dominant spear is usable, but lacks the row's diagnostic barb; keep as a user-reviewed alternate.
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 14, 2026, 12_20_08 AM (1).png	3e2f042cc94a59a9936caabde5b5219c0c14e00413ef7c2309dd2fd5f262ef47	spear	needs_user	wpn_spear_broad_midrib	Complete leaf spear overlaps the T3 base but does not justify another material-only rung.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 1\04__short_blade.png	none	short_blade	assign_to_row	wpn_short_akinakes	Clean bare akinakes-like blade is the strongest of the three near-duplicate calibrated short blades.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 2\04__long_sword.png	none	long_sword	assign_to_row	wpn_swd_leaf_flange	Complete flanged-hilt leaf sword matches the T3 structural thesis.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 3\04__axe_adze.png	none	axe_adze	assign_to_row	wpn_axe_luristan_socket	Clearest present inclined socket axe-adze; route to the single structural base instead of a material reskin.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 1\04__impact.png	none	impact	assign_to_row	wpn_club_bronze_ribbed_mace	Metal shaft-hole impact head is closest to the direct Bronze Age ribbed-mace row and needs user QA for exact rib count.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 3\04__sling_throwing.png	none	sling_throwing	assign_to_row	wpn_throw_woven_sling	Complete empty cradle and both cords form the strongest present sling base.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 1\04__spear_reach.png	none	spear_reach	needs_user	wpn_spear_broad_midrib	Usable socketed leaf spear overlaps the T3 row; compare against the promoted source before choosing one.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 2\04__short_blade.png	none	short_blade	needs_user	wpn_short_akinakes	Near-duplicate akinakes candidate; keep as an alternate rather than a second material-only row.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 3\04__long_sword.png	none	long_sword	needs_user	wpn_swd_leaf_flange	Near-duplicate flanged long sword; compare against the assigned T3 source.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 1\04__axe_adze.png	none	axe_adze	needs_user	wpn_axe_luristan_socket	Second inclined socket axe-adze overlaps the same base and should not become a material-only rung.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 2\04__impact.png	none	impact	assign_to_row	wpn_club_antler_shafthole	Naturally forked perforated head reads as the direct antler shaft-hole mace family.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 1\04__sling_throwing.png	none	sling_throwing	needs_user	wpn_throw_woven_sling	Complete sling is a viable alternate but is not a distinct mechanical rung.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 2\04__spear_reach.png	none	spear_reach	needs_user	wpn_spear_broad_midrib	Second socketed leaf spear overlaps the same T3 base; retain for user comparison only.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 3\04__short_blade.png	none	short_blade	needs_user	wpn_short_akinakes	Third akinakes-like output is an alternate, not a new ladder rung.
