art_id	class	tier	display_name	canvas	grid_w	grid_h	desc	historical_anchor	source_url	action	source_kind	source_path	source_sha256	source_verdict	overlap_key	qa_status	ladder_id	rung	runtime_kind	mechanical_identity
quiver_bark_tube	quiver	1	Bark Tube Quiver	P	2	3	A complete standalone cylindrical bark-and-hide arrow container with a closed wooden base, plain capped mouth, and one broad shoulder strap; empty, with no arrows, bow, bow limb, bowstring, or archery set.	Archaic organic quiver construction; silhouette constrained by the Subeixi/Scythian leather quiver, 8th-3rd century BC.	https://www.metmuseum.org/art/collection/search/26565	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 1\05__carry.png	db691ff62473908362ed2a903cb9573a3b2b421a4d4c231ebd128e511ab81f23	not_audited	balanced:faction_dustwind - DEX - tier 1:5	needs_user	quiver	1	quiver	bark cylinder with capped mouth
quiver_rawhide_cap	quiver	2	Rawhide Cap Quiver	P	2	3	A complete tapered rawhide quiver with a stiffened rim, fitted hide cap, reinforced bottom, and broad carrying strap; empty standalone container only, no arrows or bow-shaped object.	Leather quiver and carrying equipment preserved with the Subeixi/Scythian panoply, 8th-3rd century BC.	https://www.metmuseum.org/art/collection/search/26565	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - Misc\05__carry.png	a550bf5f0cb4761458cb88f453145268694818d9c6ef1b51c6adb53e97a13787	not_audited	balanced:faction_dustwind - Misc:5	needs_user	quiver	2	quiver	tapered rawhide body with fitted cap
quiver_copper_mouth	quiver	3	Copper-Mouthed Quiver	P	2	3	A long sewn-leather quiver with a narrow hammered-copper mouth band, rigid base cup, restrained edge binding, and one load-bearing strap; capped and empty, no bow or arrows.	Achaemenid gorytos copper fitting from Deve Huyuk, 5th-4th century BC, adapted to a separate quiver mouth and base.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 1\05__carry.png	8d4bd37a64ab0312f360400edfb71f4b37966681e94817e668cfd7be548daf03	not_audited	balanced:faction_dustwind - INT - tier 1:5	needs_user	quiver	3	quiver	leather tube with copper mouth and base
quiver_lacquered_reed	quiver	4	Lacquered Reed Quiver	P	2	3	A complete organic-led rigid quiver of tightly bundled reed under dark mineral lacquer, with a fitted hardwood mouth hoop and base, flush wooden lid, broad leather back strip, compact side strap, and irregular hand-bound fiber or sinew joins; empty, no arrows, bow, bronze, brass, metal collars, rivets, knob, buckle, or polished hardware.	Scythian and Achaemenid structured quiver evidence; organic body is a conservative reconstruction around surviving fittings and depictions.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	generate_new	none	none	none	not_audited	none	unreviewed	quiver	4	quiver	rigid lacquered reed bundle body with hardwood rims
quiver_riven_mouth	quiver	5	Riven-Mouth Quiver	P	2	3	A severe dark-hide quiver stiffened by three plain raw skymetal ribs, with a deep capped mouth, solid base shoe, and broad shoulder harness; active-service finish, empty, no arrows or bow.	Otherworldly ladder rung retaining the proportions and stitched fitting logic of the Achaemenid gorytos find.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	generate_new	none	none	none	not_audited	none	unreviewed	quiver	5	quiver	dark hide shell with three riven ribs
gorytos_sewn_hide	gorytos	1	Sewn-Hide Gorytos	P	2	3	A complete empty combined bowcase-quiver container in thick sewn hide, with the characteristic asymmetric stepped outline, closed mouth covers, lower beak, and broad suspension strap; absolutely no bow, arrows, string, or loose missiles.	Early steppe combined bowcase-quiver form shown in art and surviving fittings; Achaemenid example from Deve Huyuk.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 1\05__carry.png	aa0ff09b988b235460828f762e1624f7e7f9179843c1b8ab9a39de9a19861f18	not_audited	balanced:faction_north - INT - tier 1:5	needs_user	gorytos	1	gorytos	stepped sewn-hide combined case
gorytos_copper_beak	gorytos	2	Copper-Beak Gorytos	P	2	3	A standalone empty leather gorytos with an asymmetric double-lobed body, stitched copper beak-shaped lower fitting, reinforced mouth, and wide belt-and-shoulder harness; no bow, arrows, or bow-shaped accessory.	Achaemenid copper beak fitting pierced for stitching to a gorytos, 5th-4th century BC.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 2\04__bow_gorytos.png	90d6e9a7c404ce7fdb35abcac9cef07a4d30a444e9c0e146295033b437fcee98	not_audited	balanced:faction_dustwind - INT - tier 2:4	needs_user	gorytos	2	gorytos	double-lobed case with copper lower beak
gorytos_steppe	gorytos	3	Steppe Gorytos	P	2	3	A complete structured hide gorytos with a broad bowcase lobe, narrow quiver lobe, plain bronze edge plates, closed top flaps, and strong diagonal suspension; empty container only, no contents.	Scythian/Achaemenid gorytos construction evidenced by the Deve Huyuk fitting and contemporary depictions.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	review_reuse	balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 3\04__bow_gorytos.png	165b8997829dc32955137bb19d2a0117e65a8eea96ddbb524a36003dd195a320	not_audited	balanced:faction_north - DEX - tier 3:4	needs_user	gorytos	3	gorytos	broad bow lobe and narrow quiver lobe
gorytos_nightglass	gorytos	4	Nightglass Gorytos	P	2	3	A dark lacquered-wood and hide gorytos with a clean crescent outer profile, small protected obsidian edge insets confined to the base, bronze mouth rims, and broad harness; capped and empty, no bow or arrows.	Ritual/exotic extrapolation from Achaemenid stitched gorytos geometry, with brittle stone restricted to protected inset fields.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	generate_new	none	none	none	not_audited	none	unreviewed	gorytos	4	gorytos	crescent lacquer shell with protected stone insets
gorytos_black_beak	gorytos	5	Black-Beak Gorytos	P	2	3	A large empty gorytos of black hide over a thin wood core, with one raw skymetal beak shoe, two plain structural ribs, flush mouth covers, and a heavy load-bearing strap; no bow, arrows, string, or loose gear.	Otherworldly rung preserving the stitched metal-beak interface of the excavated Achaemenid fitting.	https://www.britishmuseum.org/collection/object/W_1913-1108-28	generate_new	none	none	none	not_audited	none	unreviewed	gorytos	5	gorytos	wood-cored black hide case with metal beak
