source_kind	source_path	source_sha256	source_class	decision	assigned_art_id	reason
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 1\05__carry.png	db691ff62473908362ed2a903cb9573a3b2b421a4d4c231ebd128e511ab81f23	carry	assign_to_row	quiver_bark_tube	Present calibrated carry output visually belongs to the quiver_bark_tube thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 3\05__signal.png	999e6a6dc76482112b78b978ec65139b70f03b045483ea45e6c089c1d35a1b19	signal	assign_to_row	preparation_cautery_probe	Present calibrated signal output visually belongs to the preparation_cautery_probe thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 1\05__carry.png	8d4bd37a64ab0312f360400edfb71f4b37966681e94817e668cfd7be548daf03	carry	assign_to_row	quiver_copper_mouth	Present calibrated carry output visually belongs to the quiver_copper_mouth thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 2\04__bow_gorytos.png	90d6e9a7c404ce7fdb35abcac9cef07a4d30a444e9c0e146295033b437fcee98	bow_gorytos	assign_to_row	gorytos_copper_beak	Present calibrated bow_gorytos output visually belongs to the gorytos_copper_beak thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 3\05__signal.png	07972d9eafb7c83edf63e4f531803e8c8b316a3b864d668e434f81df3c62db43	signal	assign_to_row	warcall_bronze_sistrum	Present calibrated signal output visually belongs to the warcall_bronze_sistrum thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - Misc\01__carry.png	ae636b575c9520ed9c84bd8fed337256e5f92510762a06901b63ac57510b3e0f	carry	reject_base_reuse	none	Calibrated pack saddle or pannier is animal cargo gear, not a direct human mobility-rig base; mapped once but rejected for this roster.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - Misc\03__signal.png	2c8f980a9cf86922ed8846ea626bf28beb2bd30cc5e9591be5ea47ea1b212297	signal	assign_to_row	attendant_bell_yoke	Present calibrated signal output visually belongs to the attendant_bell_yoke thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - Misc\05__carry.png	a550bf5f0cb4761458cb88f453145268694818d9c6ef1b51c6adb53e97a13787	carry	assign_to_row	quiver_rawhide_cap	Present calibrated carry output visually belongs to the quiver_rawhide_cap thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 1\05__carry.png	ed7f4175e717d6d3bf6bf03a5f7dcede39a47956b0b07f7066556e4df82d3213	carry	assign_to_row	mobility_bentwood_frame	Present calibrated carry output visually belongs to the mobility_bentwood_frame thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 3\05__signal.png	c121affdefd52a67ceb9e4f67071ef5339ba7a9e4c944c1d3268c2fd6a87b4d5	signal	assign_to_row	warcall_etruscan_trumpet	Present calibrated signal output visually belongs to the warcall_etruscan_trumpet thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 1\05__carry.png	7b4000abd946b2de37b70529b283dd4647eba49576d4582b69ba7e0aebc5a68c	carry	assign_to_row	reliquary_wood_pyxis	Present calibrated carry output visually belongs to the reliquary_wood_pyxis thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 3\04__bow_gorytos.png	165b8997829dc32955137bb19d2a0117e65a8eea96ddbb524a36003dd195a320	bow_gorytos	assign_to_row	gorytos_steppe	Present calibrated bow_gorytos output visually belongs to the gorytos_steppe thesis; hold for user QA before reuse.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 3\05__signal.png	e04e11eab3549b07a63ffe32866a81ed68024b7c07bef2cf6491e9d2bb953425	signal	reject_base_reuse	none	Calibrated horse-bit or tack output is not a human load-bearing mobility rig; mapped once but rejected for this roster.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 1\05__carry.png	aa0ff09b988b235460828f762e1624f7e7f9179843c1b8ab9a39de9a19861f18	carry	assign_to_row	gorytos_sewn_hide	Present calibrated carry output visually belongs to the gorytos_sewn_hide thesis; hold for user QA before reuse.
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 12, 2026, 11_12_54 PM (1).png	b531c64cb1f9de69efcbae00ae6e4766427bb9c19562a9dd2f087cf6775d4a12	war_call	assign_to_row	warcall_cattle_horn	Promoted complete curved war horn maps to the natural horn rung.
post_calib	C:\Users\Alex\Downloads\items_post_calib_batch\ChatGPT Image Jul 12, 2026, 11_12_54 PM (5).png	1e1128e6c50211f3401c144555ae702489d44cfdeffd8b26d4a0fe3561a3d187	ritual_or_preparation	assign_to_row	preparation_root_mortar	Promoted mortar-and-pestle set maps to the single nested preparation implement.
