source_kind	source_path	source_sha256	source_class	decision	assigned_art_id	reason
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 2\03__hands_arms.png	a8300df92fe3af1bba2c7f4ba4a4b572a23c929648808a92a293f00f04b803f6	hands_arms	reject_base_reuse	hands_quilted_linen_mitts	Hard copper field pasted onto a soft mitt fails the handwear construction rule; reference only for a materially continuous quilted replacement.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 2\03__hands_arms.png	52179bf490ab0b5d6af8a9c07087218f956bfe5eeebd8a792a8b945ce5d215cc	hands_arms	reject_base_reuse	hands_copper_shell_cesti	Oval plate pasted onto a soft mitt fails; reference only for a self-supporting contiguous copper mitten cage.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 2\03__hands_arms.png	e0c825d48880eb1dd36cbbb1bf62ad8a5683708f01635ba078fa91ca971311e8	hands_arms	reject_base_reuse	hands_corded_palm_mitts	Metal ribs pasted onto a soft mitt fail; reference only for raised cord welts buried within continuous hide.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 2\03__hands_arms.png	7ec896139293e28163e56566b31a230b3b559b86710cbe0578e1d7c74a79243b	hands_arms	reject_base_reuse	hands_lacquered_hide_mitts	Applied hand plates fail; reference only for a continuous shaped hardened-hide mitten body.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 2\03__hands_arms.png	7a314f139eb8ff9e174aba4ce9ff11bd54d91f4aae1d61c8db2f938d3ee5b05e	hands_arms	reject_base_reuse	hands_black_hide_mitts	Metal palm shell pasted onto a soft mitt fails; reference only for a continuous molded black-hide replacement.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 3\02__legs_footwear.png	378e716a50ebfc713a6235f88841d8c2fd4d347dbc51166d372df238a5783d99	legs_footwear	reject_base_reuse	feet_meteor_cuff_footbags	Developed sole and plated boot construction fail the ancient base screen; reference only for a newly generated flexible footbag with metal confined above the foot.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 3\02__legs_footwear.png	66688c548fe036b94d90df11a26912b8e271ea2a663b21c99db606577462a5c5	legs_footwear	reject_base_reuse	feet_meteor_greave_sandals	Developed tall boot construction fails the ancient base screen; reference only.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 3\02__legs_footwear.png	3c6a90194894e426157cf9be3f676d9c1de5df99a4b66d669d47c5f1370ebe21	legs_footwear	reject_base_reuse	feet_bronze_greave_shoes	Developed boot sole and dense panel treatment fail the ancient base screen; reference only.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 3\02__legs_footwear.png	61b80d709d914aabb8da26dba9ac8d8ba35855bdec8c02df310d935685d46877	legs_footwear	reject_base_reuse	feet_classical_overflap_boots	Metal shin facade over a modern-looking foot body fails base reuse; reference only.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 3\02__legs_footwear.png	b62054f38f657ff24394e74d1f4747e67849219e0a582e0c01c207b7759b8e18	legs_footwear	reject_base_reuse	feet_meteor_shin_boots	Metal shin facade and developed shoe construction fail base reuse; reference only.
post_calib	ChatGPT Image Jul 10, 2026, 10_53_51 PM (10).png	185c4e3cdbbc6b5fdcaac08aae7d04e7f8e8a179f01a83de7eb4c339d8c6f4d7	boots	assign_to_row	feet_wrapped_hide_shoes	Promoted complete wrapped-hide ankle shoes with a primitive flat-soled silhouette.
post_calib	ChatGPT Image Jul 10, 2026, 10_53_51 PM (9).png	0d80af9cb34a78850766d7b26833a4e471871fb8fd84f7b1d33e5346b95c1195	gloves	assign_to_row	hands_sinew_arm_wraps	Promoted materially continuous paired leather forearm wraps.
post_calib	ChatGPT Image Jul 10, 2026, 11_25_30 PM (9).png	a64dafff8e114d9d6f2d3b6b015e59be078e34b9754e01c19e4c7e4b1af174b7	gloves	assign_to_row	hands_layered_hide_guards	Promoted paired layered-hide guards with a distinct squared profile.
post_calib	ChatGPT Image Jul 13, 2026, 11_24_38 PM (9).png	26f682d86c1649bb98632e64487388055c9c0de1c9ffceee6506f3a3e17b6100	gloves	assign_to_row	hands_linen_hide_wraps	Promoted paired cloth-and-hide forearm wraps.
post_calib	ChatGPT Image Jul 13, 2026, 11_28_53 PM (9).png	033565c6be6f273d68528d4b25488de274537f0cd5f275392fd2d114a2fe82b4	gloves	assign_to_row	hands_rough_hide_wraps	Promoted primitive paired hide wrist and forearm wraps.
post_calib	ChatGPT Image Jul 13, 2026, 11_51_11 PM (3).png	c4805ab976cb4499a26eb655795095a2962a18660ec65ae061e5442eb23f4497	belt_or_sash	assign_to_row	belt_folded_wool_sash	Promoted shallow folded textile sash with no vertical clutter.
post_calib	ChatGPT Image Jul 13, 2026, 11_51_12 PM (10).png	9ab57608ea37fb1d1f93281d6af80d9f7fd8f859d8ece0aa6805bd04660488d0	boots	assign_to_row	feet_rawhide_cage_sandals	Promoted complete open rawhide sandal pair with thin flat soles.
post_calib	ChatGPT Image Jul 14, 2026, 01_03_27 AM (7).png	f4b50d82258fd97f46bf0758c7534aaa85c885c4d397fbc6166deb302ca86c42	belt	assign_to_row	belt_one_piece_hide	Promoted very shallow one-piece primitive hide belt.
