source_kind	source_path	source_sha256	source_class	decision	assigned_art_id	reason
post_calib	ChatGPT Image Jul 10, 2026, 11_25_30 PM (2).png	ef04f96619d4bc1e5bfa6cd84fd2d27a31fc0ef49fd9aa840458996111e1943e	shield	assign_to_row	shield_hide_round	Promoted complete hide-faced roundshield; assigned once to the matching T1 full-shield base.
post_calib	ChatGPT Image Jul 13, 2026, 11_17_52 PM (2).png	167e499a870a6cf3e9ed54cb5cb4289e0bbd7b8c427d6424b6917cb0e077584e	shield	assign_to_row	shield_wood_round	Promoted plain joined-board roundshield; assigned once to the matching plank construction.
post_calib	ChatGPT Image Jul 13, 2026, 11_24_36 PM (2).png	2fa57f37af50b3c70332c53dd09f2316c27497de4615277e8fac14b1d8bafed6	shield	assign_to_row	shield_copper_hide_round	Promoted rawhide roundshield with a restrained copper boss; treated as a full shield rather than a buckler.
post_calib	ChatGPT Image Jul 13, 2026, 11_51_10 PM (2).png	d370c32bcd84a879e108395e86c635edccad2f51efe71abe09fac681fc30504d	shield	assign_to_row	shield_cane_oval	Promoted tall reed-and-wood shield; assigned once to the framed cane oval base.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 1\03__shield.png	none	shield	assign_to_row	shield_reed_pelta	Clean crescent silhouette with coherent covered reed and hide construction.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 3\03__shield.png	none	shield	reject_base_reuse	none	Redundant figure-eight family output with weaker small-scale separation than the assigned example.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 1\03__shield.png	none	shield	reject_base_reuse	none	Notched body-shield output is less coherent and duplicates the assigned Dipylon base.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 3\03__shield.png	none	shield	reject_base_reuse	none	Ornate bronze shield is redundant with stronger oval bronze supply and risks motif-heavy reading.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - Misc\04__shield.png	none	shield	reject_base_reuse	none	Unusual shield output has weak equipment readability at icon scale and no unique ladder role.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 1\03__shield.png	none	shield	assign_to_row	shield_hide_figure_eight	Clean plain figure-eight body-shield silhouette with restrained organic construction.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 2\07__shield.png	none	shield	reject_base_reuse	none	Second figure-eight output is redundant with the cleaner assigned example.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 3\03__shield.png	none	shield	reject_base_reuse	none	Second crescent output is redundant and more ornament-dependent than the assigned reed pelta.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 1\03__shield.png	none	shield	assign_to_row	shield_bronze_parma	Restrained oval bronze-and-wood shield provides a usable distinct center-plate base.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 3\03__shield.png	none	shield	assign_to_row	shield_hide_dipylon	Strong tall notched silhouette with a continuous frame and clear front face.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 1\03__shield.png	none	shield	reject_base_reuse	none	Additional crescent output duplicates the assigned pelta and does not add a mechanical thesis.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 3\03__shield.png	none	shield	reject_base_reuse	none	Additional figure-eight output duplicates the assigned body shield and is not separately needed.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 2\05__ritual.png	none	ritual	reject_base_reuse	none	Handled ritual output has weaker silhouette and overlaps the clearer bell and sistrum bases.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 2\05__ritual.png	none	ritual	reject_base_reuse	none	Small seal or mirror-like output reads as a fragile prop and does not meet substantial held-focus scale.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - Misc\02__ritual.png	none	ritual	assign_to_row	focus_bronze_censer	Complete lidded vessel with readable feet and openings; assigned to the tripod censer.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 2\05__ritual.png	none	ritual	assign_to_row	focus_bronze_prongs	Complete thick double-ended implement with a strong opposed-prong silhouette.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - DEX - tier 2\05__ritual.png	none	ritual	assign_to_row	focus_ram_rhyton	Substantial handled animal-terminal vessel; assigned to the bounded ram rhyton base.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_north - INT - tier 2\05__ritual.png	none	ritual	reject_base_reuse	none	Second lidded vessel overlaps the assigned censer and lacks a separate five-rung role.
