index	filename	sha256	verdict	slot_guess	proposed_art_id	reason
0	930f69ac-5473-4b26-a09f-a116da65949d.png	c133543a477e1a82837aa897c728080466987fcbd70db05890b02d5e5524cfcf	reject	impact		Reject: overbuilt fantasy/medieval prop, unclear functional head, or weak slot readability.
1	ChatGPT Image Jul 10, 2026, 10_52_35 PM (1).png	95ff5e44badc29a84e2fa0ace3f5cfdb3b3b13adff2619da8f4590ca2748adc6	reject	impact		Reject: overbuilt fantasy/medieval prop, unclear functional head, or weak slot readability.
2	ChatGPT Image Jul 10, 2026, 10_52_35 PM (2).png	fb9f9d5befb6e292c8d991b9af5ace1876e86a17927d17428295f8d5a02f8fec	review	shield		Review: excellent tall shield silhouette, but dense lapis/gold facade is unique-tier regalia rather than an ordinary base.
3	ChatGPT Image Jul 10, 2026, 10_52_35 PM (3).png	a27ae4e094460f6f5e44f48f053b7ea4ac29b4b8392541c451fe5d1b090107bb	reject	belt_or_circlet		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
4	ChatGPT Image Jul 10, 2026, 10_52_35 PM (4).png	d036deec8d1c52192c56dacc523c86b0b215163a75dcee6392b5e4c3eac723ca	reject	amulet		Reject: radial/solar face, excessive danglers, collar scale, or fantasy jewelry treatment fails compact amulet hygiene.
5	ChatGPT Image Jul 10, 2026, 10_52_35 PM (5).png	ad5e3831565b2879826ea24dc86c7e813bd16898c50bc91f0cfaf06b3ac5b4e2	review	body_armor		Review: complete textile torso defense is usable, but jeweled trim and diagonal harness detail require high-tier classification.
6	ChatGPT Image Jul 10, 2026, 10_52_35 PM (6).png	559c03ed8dfcfc87d89852c72b2188b40f60db0cb61fabb4645a0d2425463e71	review	outer_layer		Review: continuous mantle is structurally good, but ornate trim and jewelry-like clasp need motif screening.
7	ChatGPT Image Jul 10, 2026, 10_52_36 PM (10).png	80d3ed12dc3eb2825904920257aefa910e362528487be452b07d5872b5318f3d	reject	boots		Reject: developed lasted footwear, built sole/heel, standardized paneling, or plate treatment reads medieval or modern.
8	ChatGPT Image Jul 10, 2026, 10_52_36 PM (7).png	24a142948a78070df486594fd40cf94df6dd0c11e6ea97b94d70338a4dc965b9	reject	belt		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
9	ChatGPT Image Jul 10, 2026, 10_52_36 PM (8).png	be8f1d643015b9e588a3c89188b8a0a1ad15a02be8f82b7e3b5e3fc2300fc571	reject	ring		Reject: radial/solar bezel or dense fantasy ornament conflicts with the restrained ancient base-item motif policy.
10	ChatGPT Image Jul 10, 2026, 10_52_36 PM (9).png	e6ae85a1e014203b107d7a96709fb8f2a0e80c3cf5160427a4bef3d17c6aa16c	review	gloves		Review: paired forearm defenses are complete, but dense metal decoration makes them unique-tier rather than a clean base.
11	ChatGPT Image Jul 10, 2026, 10_53_50 PM (1).png	ca5202b1994f98919bab221836de53bcf6a9fe452d94fc37ed4a97243e4560cf	reject	sling		Reject: not one empty historical hand sling with one cradle and exactly two cords; projectile/bundle content is disallowed.
12	ChatGPT Image Jul 10, 2026, 10_53_50 PM (2).png	a6202a9818549a8fbec53515d2411ee72c1a8a6e5589e76a184147d31ab281e6	reject	ritual_focus		Reject: slot ambiguity, weak prop readability, or construction outside the project ancient-equipment rules.
13	ChatGPT Image Jul 10, 2026, 10_53_50 PM (3).png	3aeb4d4f23760a38fd9ccf6ae7cbcd5bfc8a7fd53682652a6a32cfed1a9155e3	review	belt_or_circlet		Review: clean band silhouette, but belt-versus-circlet identity and icon-scale readability are uncertain.
14	ChatGPT Image Jul 10, 2026, 10_53_50 PM (4).png	fc3ecd0997cc295a9bd1f54b2f40e2af2e2011b4cbc129bf0834913d2bbdbbe6	promote	amulet	salvage_amulet_014	Promote: compact tooth-and-stone pendant has one clear focal object, credible cord binding, and no solar motif.
15	ChatGPT Image Jul 10, 2026, 10_53_50 PM (5).png	bec0a3f03fc464d52c6093f566ede18f78ef68bed99344ee44c1ed5aa34420a1	promote	body_armor	salvage_body_015	Promote: coherent primitive hide torso defense is anatomy-free, mechanically legible, and ancient in material language.
16	ChatGPT Image Jul 10, 2026, 10_53_50 PM (6).png	5dbe00b9984f34d55d1bb95d7ca59e1ff6fc3fca49e09302c5ee34f50031eef2	reject	outer_layer		Reject: shingled, overmatched, collar-like, or medieval costume construction fails the broad continuous ancient outer-layer rule.
17	ChatGPT Image Jul 10, 2026, 10_53_50 PM (7).png	a06e26a7c82c86f05579bd37a3d62c349004edc3bc6cc41a53b1097ca300c3e8	review	belt		Review: broad wrapped-hide belt body is useful, but long loose tails exceed the clean shallow 2x1 silhouette.
18	ChatGPT Image Jul 10, 2026, 10_53_50 PM (8).png	b27a2d35da76d0f0943ee15aa7a466ade80c4f400b2ca630608f6cedd1b327b8	review	ring		Review: compact shell-set ring is readable, but reserve for a bounded exotic rung after icon-scale motif review.
19	ChatGPT Image Jul 10, 2026, 10_53_51 PM (10).png	185c4e3cdbbc6b5fdcaac08aae7d04e7f8e8a179f01a83de7eb4c339d8c6f4d7	promote	boots	salvage_boots_019	Promote: complete pair of wrapped-hide ankle shoes has thin flat soles and non-modern hand-bound construction.
20	ChatGPT Image Jul 10, 2026, 10_53_51 PM (9).png	0d80af9cb34a78850766d7b26833a4e471871fb8fd84f7b1d33e5346b95c1195	promote	gloves	salvage_gloves_020	Promote: paired continuous leather forearm wraps are simple, materially coherent, and readable at icon scale.
21	ChatGPT Image Jul 10, 2026, 11_03_56 PM (1).png	74be9f0e8b5b373bb1506867e14c557d2addddef13bd33fbce9cbe6fba6fc270	promote	impact	salvage_impact_021	Promote: complete long wooden warclub has a clear bossed striking body, full framing, and plausible hand-shaped construction.
22	ChatGPT Image Jul 10, 2026, 11_03_56 PM (2).png	aa665568cc492cffdd820113900f72beededbfd04de85355ce1b133e44dfd05c	review	helmet		Review: complete segmented helmet has coherent paired guards, but repeated metal bands and precise studding need chronology and manufacturing screening.
23	ChatGPT Image Jul 10, 2026, 11_03_56 PM (3).png	2e4db93dbd67481de4794b10226290aa2a2f41a3cf0684c34a72b7d5befd7474	reject	outer_layer		Reject: shingled, overmatched, collar-like, or medieval costume construction fails the broad continuous ancient outer-layer rule.
24	ChatGPT Image Jul 10, 2026, 11_03_56 PM (4).png	59ed7e628d406fd4d70946a7855c54ea565894fef1b2146fd3b7e012c1b16c56	review	gloves		Review: complete paired bracers have credible overlap, but metal bosses and dense tooling require tier/motif review.
25	ChatGPT Image Jul 10, 2026, 11_03_56 PM (5).png	0a8381b02e6de25a19e6f22e6430d27c8ffbdda785e4ff0a44376880d5fbb3ee	reject	belt		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
26	ChatGPT Image Jul 10, 2026, 11_03_56 PM (6).png	d57c2fad06e13fee724c071d9af45cc0160f205920fc895c5ebbe008bf24a867	promote	ring	salvage_ring_026	Promote: compact plain bronze signet uses restrained line geometry and a clear ring silhouette.
